,Model,Ticker,Mean,Std,Minimum,Maximum,Range,Coefficient of Variation
0,Black-Litterman,ABT,0.011528288284684792,0.010620124714563136,0.0,0.02681,0.02681,0.9212230343573086
1,Black-Litterman,ADBE,0.058756531720715044,0.057752633490216525,0.0,0.16412,0.16412,0.9829142701058274
2,Black-Litterman,ADI,0.0,0.0,0.0,0.0,0.0,
3,Black-Litterman,ADP,0.0,0.0,0.0,0.0,0.0,
4,Black-Litterman,AMAT,0.02282993220384894,0.021699107343699862,0.0,0.06193,0.06193,0.9504674455424608
5,Black-Litterman,AME,0.032255437669816894,0.03941633720572026,0.0,0.10982329469884096,0.10982329469884096,1.222005964054991
6,Black-Litterman,AXP,0.0,0.0,0.0,0.0,0.0,
7,Black-Litterman,BA,0.0042249379518614445,0.006547394225908964,0.0,0.01294,0.01294,1.5497018655680566
8,Black-Litterman,CL,0.0027899999999999995,0.004885267648757845,0.0,0.01197,0.01197,1.7509919888020953
9,Black-Litterman,COF,0.0,0.0,0.0,0.0,0.0,
10,Black-Litterman,CSCO,0.0,0.0,0.0,0.0,0.0,
11,Black-Litterman,CVX,0.0,0.0,0.0,0.0,0.0,
12,Black-Litterman,DD,0.006653333333333333,0.01629727175531741,0.0,0.03992,0.03992,2.4494897427831783
13,Black-Litterman,DELL,0.007279991703455992,0.008658131792968083,0.0,0.02064,0.02064,1.1893051730893944
14,Black-Litterman,FDX,0.0,0.0,0.0,0.0,0.0,
15,Black-Litterman,GE,0.02664333869278784,0.008509750545100295,0.01497,0.03598,0.021009999999999997,0.319395051919819
16,Black-Litterman,GILD,0.013441666666666666,0.02047586717740342,0.0,0.05286,0.05286,1.5233131192116618
17,Black-Litterman,GM,0.0,0.0,0.0,0.0,0.0,
18,Black-Litterman,GS,0.0,0.0,0.0,0.0,0.0,
19,Black-Litterman,HAS,0.0,0.0,0.0,0.0,0.0,
20,Black-Litterman,IBM,0.017021701029448198,0.020327773108790234,0.0,0.04604138124143724,0.04604138124143724,1.1942268915205598
21,Black-Litterman,INTC,0.004071652167101654,0.008631109861466537,0.0,0.02153,0.02153,2.119805304393294
22,Black-Litterman,JBL,0.0012632954344702991,0.003094429208839816,0.0,0.007579772606821795,0.007579772606821795,2.449489742783178
23,Black-Litterman,JNJ,0.016994963551093468,0.01833770320885094,0.0,0.04731,0.04731,1.0790080928223633
24,Black-Litterman,JPM,0.054891405383937435,0.04324078810210809,0.0,0.12039,0.12039,0.7877515213841
25,Black-Litterman,KLAC,0.022058327633504324,0.053475124523661245,0.0,0.13121,0.13121,2.4242601439303155
