,Historical,EMA,CAPM
PPG,0.07681175649113126,0.08035373333072005,0.08340863468802842
DELL,0.15042936152362274,4.352398770958322,0.06390800588221549
QCOM,0.04345546352184382,0.23244812214267285,0.09301645118703285
AMAT,0.11936272095134615,0.9620788702874328,0.09920914801370981
MRK,0.0693115559186237,0.8304911722145343,0.07140056801715074
AME,0.1895889102381092,0.191061525487493,0.08227865380574473
PG,0.06610195774426231,-0.009336407298062732,0.06608502415027133
CL,0.06349752321877955,0.08801208669590488,0.06628170895262858
V,0.13724368629202477,0.3164021637962382,0.0733589857446037
MA,0.20466250061117996,0.26343437785439994,0.07815363850593396
MU,0.13011239532938745,5.263356911621147,0.10541748417374155
T,0.05581291944940947,0.1760209894057907,0.07303413043993962
JPM,0.10902756677692693,0.3687905929789985,0.09533474966757721
JNJ,0.09629907575024221,0.4885840206003975,0.0661559819377266
INTC,0.049571553271578805,1.7771828995198624,0.09336524756258494
GE,0.03652248782671341,0.2806402802579733,0.08761764127916484
MS,0.07349842735557477,0.4706139184923468,0.10805961753705318
RTX,0.11585480491798306,0.36432440756295215,0.08104949783237272
TXN,0.08337035099083612,0.3858983000090743,0.0908492060569864
IBM,0.05501174036539802,0.018538577690287328,0.07790908112001166
SPGI,0.12836868574154825,0.07756521706925734,0.08316442473264946
LMT,0.16197315360802333,0.16180590111447524,0.06841474832733577
ADP,0.09861933440620496,0.42746423101650777,0.07743317868386912
COF,0.072835638703173,0.20501219830925632,0.10113468679469291
WDC,0.2178914372913432,2.650276451155444,0.09814783211844375
ABT,0.10375040452790452,0.12946398516008362,0.07011751546010919
GILD,0.19760424248448083,0.39267222424819703,0.07715834333880242
UNP,0.1558826178112751,0.4203919853585065,0.07953971308749497
ADI,0.10178274184592229,0.3266187370471436,0.09360766358450957
TMUS,0.05523320436910417,-0.10032036648436393,0.07256404219128768
MMM,0.08613646932955876,0.25305621046615356,0.07723697380294528
ADBE,0.11474741948571943,0.21207252303673862,0.09295480241248638
AXP,0.09161219509629426,0.06929407784018826,0.09444992929160177
BA,0.08135170275568315,-0.016412164845761135,0.08611537359164377
CVX,0.10230885884082408,0.4628995599528325,0.07887373967570455
CSCO,0.044561765255807684,0.605789505055552,0.08980279379552426
DD,0.051992246785661056,0.18177106866780468,0.08843771706733747
XOM,0.08837145300326865,0.4321281751365069,0.07683650284363566
FDX,0.0975991312741109,0.5028365583633083,0.083216403759479
GS,0.11208463713017447,0.41388387903195434,0.09430958637903085
GM,0.047087278329570825,0.455346271098489,0.0686531556270678
HAS,0.09178220027502926,0.3437433617862802,0.07725077216422652
JBL,0.09558598080326774,0.39757033218601134,0.10027232764949896
KMB,0.05588313179187043,0.06128489296431083,0.06494175573892497
KLAC,0.16760635024453352,0.5813225146418683,0.09907399848904255
LOW,0.12180043559815634,-0.16665098382407895,0.0842327421728031
MKC,0.10264893750705495,-0.04393213770349613,0.06600396478534538
NEM,0.08137925067900675,0.9704387685659086,0.06412876020923448
OLN,0.03414663514311922,-0.3249982569396319,0.09060065715323395
PH,0.155097559572013,0.28952108187046854,0.08986821658152516
