=== Transmission / Reflection vs Energy (Displayed Range) ===
 Energy (eV)    Transmission      Reflection
      0.5000        0.593202        0.406798
      0.5045        0.373943        0.626057
      0.5090        0.542863        0.457137
      0.5135        0.467227        0.532773
      0.5180        0.741241        0.258759
      0.5225        0.720426        0.279574
      0.5270        0.108991        0.891009
      0.5315        0.000003        0.999997
      0.5360        0.000000        1.000000
      0.5405        0.000000        1.000000
      0.5450        0.000000        1.000000
      0.5495        0.000000        1.000000
      0.5541        0.000000        1.000000
      0.5586        0.000000        1.000000
      0.5631        0.000000        1.000000
      0.5676        0.000000        1.000000
      0.5721        0.000000        1.000000
      0.5766        0.000000        1.000000
      0.5811        0.000000        1.000000
      0.5856        0.000000        1.000000
      0.5901        0.000000        1.000000
      0.5946        0.000000        1.000000
      0.5991        0.000000        1.000000
      0.6036        0.000000        1.000000
      0.6081        0.000000        1.000000
      0.6126        0.000000        1.000000
      0.6171        0.000000        1.000000
      0.6216        0.000000        1.000000
      0.6261        0.000000        1.000000
      0.6306        0.000000        1.000000
      0.6351        0.000000        1.000000
      0.6396        0.000000        1.000000
      0.6441        0.000000        1.000000
      0.6486        0.000000        1.000000
      0.6532        0.000000        1.000000
      0.6577        0.000000        1.000000
      0.6622        0.000000        1.000000
      0.6667        0.000000        1.000000
      0.6712        0.000000        1.000000
      0.6757        0.419209        0.580791
      0.6802        0.220271        0.779729
      0.6847        0.513919        0.486081
      0.6892        0.412249        0.587751
      0.6937        0.620580        0.379420
      0.6982        0.656645        0.343355
      0.7027        0.584961        0.415039
      0.7072        0.615993        0.384007
      0.7117        0.924844        0.075156
      0.7162        0.829004        0.170996
      0.7207        0.707977        0.292023
      0.7252        0.996720        0.003280
      0.7297        0.730433        0.269567
      0.7342        0.998655        0.001345
      0.7387        0.765561        0.234439
      0.7432        0.995828        0.004172
      0.7477        0.810532        0.189468
      0.7523        0.932694        0.067306
      0.7568        0.919450        0.080550
      0.7613        0.840584        0.159416
      0.7658        0.997880        0.002120
      0.7703        0.883501        0.116499
      0.7748        0.883218        0.116782
      0.7793        0.999883        0.000117
      0.7838        0.904132        0.095868
      0.7883        0.885752        0.114248
      0.7928        0.989805        0.010195
      0.7973        0.955724        0.044276
      0.8018        0.886732        0.113268
      0.8063        0.941018        0.058982
      0.8108        0.999931        0.000069
      0.8153        0.942970        0.057030
      0.8198        0.901527        0.098473
      0.8243        0.947999        0.052001
      0.8288        0.999333        0.000667
      0.8333        0.967602        0.032398
      0.8378        0.918367        0.081633
      0.8423        0.926953        0.073047
      0.8468        0.977467        0.022533
      0.8514        0.999229        0.000771
      0.8559        0.965757        0.034243
      0.8604        0.928642        0.071358
      0.8649        0.930486        0.069514
      0.8694        0.966105        0.033895
      0.8739        0.997295        0.002705
      0.8784        0.991811        0.008189
      0.8829        0.959933        0.040067
      0.8874        0.934897        0.065103
      0.8919        0.936014        0.063986
      0.8964        0.960166        0.039834
      0.9009        0.988538        0.011462
      0.9054        0.999979        0.000021
      0.9099        0.987743        0.012257
      0.9144        0.963216        0.036784
      0.9189        0.943102        0.056898
      0.9234        0.937630        0.062370
      0.9279        0.947945        0.052055
      0.9324        0.968099        0.031901
      0.9369        0.988288        0.011712
      0.9414        0.999292        0.000708
      0.9459        0.996938        0.003062
      0.9505        0.983609        0.016391
      0.9550        0.965730        0.034270
      0.9595        0.949923        0.050077
      0.9640        0.940604        0.059396
      0.9685        0.939464        0.060536
      0.9730        0.945926        0.054074
      0.9775        0.957828        0.042172
      0.9820        0.972114        0.027886
      0.9865        0.985531        0.014469
      0.9910        0.995323        0.004677
      0.9955        0.999790        0.000210
      1.0000        0.998521        0.001479
      1.0045        0.992250        0.007750
      1.0090        0.982435        0.017565
      1.0135        0.970779        0.029221
      1.0180        0.958851        0.041149
      1.0225        0.947878        0.052122
      1.0270        0.938684        0.061316
      1.0315        0.931726        0.068274
      1.0360        0.927168        0.072832
      1.0405        0.924960        0.075040
      1.0450        0.924915        0.075085
      1.0495        0.926764        0.073236
      1.0541        0.930199        0.069801
      1.0586        0.934905        0.065095
      1.0631        0.940577        0.059423
      1.0676        0.946939        0.053061
      1.0721        0.953744        0.046256
      1.0766        0.960775        0.039225
      1.0811        0.967844        0.032156
      1.0856        0.974779        0.025221
      1.0901        0.981408        0.018592
      1.0946        0.987534        0.012466
      1.0991        0.992898        0.007102
      1.1036        0.997122        0.002878
      1.1081        0.999639        0.000361
      1.1126        0.999575        0.000425
      1.1171        0.995616        0.004384
      1.1216        0.985856        0.014144
      1.1261        0.967738        0.032262
      1.1306        0.938261        0.061739
      1.1351        0.894848        0.105152
      1.1396        0.837252        0.162748
      1.1441        0.770474        0.229526
      1.1486        0.707978        0.292022
      1.1532        0.675644        0.324356
      1.1577        0.723924        0.276076
      1.1622        0.931800        0.068200
      1.1667        0.798424        0.201576
      1.1712        0.377787        0.622213
      1.1757        0.583831        0.416169
      1.1802        0.061972        0.938028
      1.1847        0.000000        1.000000
      1.1892        0.000000        1.000000
      1.1937        0.000000        1.000000
      1.1982        0.000000        1.000000
      1.2027        0.000000        1.000000
      1.2072        0.000000        1.000000
      1.2117        0.000000        1.000000
      1.2162        0.000000        1.000000
      1.2207        0.000000        1.000000
      1.2252        0.000000        1.000000
      1.2297        0.000000        1.000000
      1.2342        0.000000        1.000000
      1.2387        0.000000        1.000000
      1.2432        0.094867        0.905133
      1.2477        0.973416        0.026584
      1.2523        0.473342        0.526658
      1.2568        0.835229        0.164771
      1.2613        0.996354        0.003646
      1.2658        0.917706        0.082294
      1.2703        0.871082        0.128918
      1.2748        0.862600        0.137400
      1.2793        0.871515        0.128485
      1.2838        0.886922        0.113078
      1.2883        0.904445        0.095555
      1.2928        0.922589        0.077411
      1.2973        0.940797        0.059203
      1.3018        0.958493        0.041507
