,Model,Ticker,Mean Weight,Average Active Weight,Annualized Asset Return,Annualized Contribution,Total Arithmetic Contribution,Contribution Share of Arithmetic Gross Return,Positive Contribution Days,Negative Contribution Days,Contribution Volatility
0,Black-Litterman,ABT,0.01042815474696367,0.01042815474696367,0.047634863094408,-0.0007524866096988613,-0.004240202324493583,-0.004041782512692656,458,459,0.0035298940344232407
1,Black-Litterman,ADBE,0.051906570469988804,0.051906570469988804,-0.022546846405223857,-0.0037682363885429937,-0.021233712983059726,-0.020240083667402767,586,583,0.0244438595074735
2,Black-Litterman,ADI,0.0,0.0,0.23314478332260657,0.0,0.0,0.0,0,0,0.0
3,Black-Litterman,ADP,0.0,0.0,0.13983873500759025,0.0,0.0,0.0,0,0,0.0
4,Black-Litterman,AMAT,0.028511901540113217,0.028511901540113217,0.4136165172681757,0.01626860112467161,0.0916722761787051,0.0873824818729785,628,541,0.018811486167757723
5,Black-Litterman,AME,0.031839625570563614,0.031839625570563614,0.151775427366502,0.004459716201504473,0.025130146849747428,0.023954184330305137,609,554,0.009164906711022554
6,Black-Litterman,AXP,0.0,0.0,0.23730633078679256,0.0,0.0,0.0,0,0,0.0
7,Black-Litterman,BA,0.003720406102462005,0.003720406102462005,0.07108335578606524,8.11584725704398e-05,0.0004573215517858116,0.0004359212389484552,251,251,0.0023116225358083653
8,Black-Litterman,CL,0.002257130689601912,0.002257130689601912,0.052686715243476345,0.00028457664116484835,0.001603566787516209,0.0015285280521353014,209,206,0.0011465539093754593
9,Black-Litterman,COF,0.0,0.0,0.2178132054219024,0.0,0.0,0.0,0,0,0.0
10,Black-Litterman,CSCO,0.0,0.0,0.22233828767371724,0.0,0.0,0.0,0,0,0.0
11,Black-Litterman,CVX,0.0,0.0,0.23263608171315198,0.0,0.0,0.0,0,0,0.0
12,Black-Litterman,DD,0.006504373473356355,0.006504373473356355,0.13927896765313355,0.002014306905183435,0.011350459545081262,0.01081931601125047,132,117,0.00526829206461608
