,Model,Ticker,Weight,Marginal Risk Contribution,Component Risk,Component Variance,Risk Contribution %,Portfolio Volatility
0,Simulated (Max Sharpe Ratio),PPG,0.005486504456055985,0.2013661078669396,0.0011047960481106144,0.00020993730152358552,0.005813994459596808,0.19002358116922427
1,Simulated (Max Sharpe Ratio),DELL,0.047984313848136374,0.09800988598287948,0.004702937129222551,0.00089366895530858,0.024749229018236323,0.19002358116922427
2,Simulated (Max Sharpe Ratio),QCOM,0.034927243703516166,0.2569564581294243,0.00897478083427875,0.0017054199943385662,0.04722982684073465,0.19002358116922427
3,Simulated (Max Sharpe Ratio),AMAT,0.01131371649433991,0.2960713893162027,0.0033496677608088558,0.0006365158636359952,0.017627642528354574,0.19002358116922427
4,Simulated (Max Sharpe Ratio),MRK,0.024265893525333065,0.12314097968498611,0.002988125901641075,0.0005678143848143542,0.015725026774335016,0.19002358116922427
5,Simulated (Max Sharpe Ratio),AME,0.02464895169904436,0.19484113057081395,0.004802629616427188,0.0009126128787428722,0.02527386120646909,0.19002358116922427
6,Simulated (Max Sharpe Ratio),PG,0.02127023939646143,0.09419406184945103,0.002003530245262918,0.0003807179921857139,0.010543587448121434,0.19002358116922427
7,Simulated (Max Sharpe Ratio),CL,0.010087759391473994,0.09331820779409686,0.0009413716270704223,0.0001788828077870211,0.004953972666329711,0.19002358116922427
8,Simulated (Max Sharpe Ratio),V,0.04493288374046252,0.14597006524445774,0.006558855971216948,0.001246337300023795,0.034516010754349485,0.19002358116922427
9,Simulated (Max Sharpe Ratio),MA,0.04294400364160492,0.1754216653814151,0.007533308636955891,0.001431506285247406,0.03964407254406573,0.19002358116922427
10,Simulated (Max Sharpe Ratio),MU,0.00583248777465857,0.33561392293264763,0.0019574641025098707,0.0003719643387691272,0.01030116415270936,0.19002358116922427
11,Simulated (Max Sharpe Ratio),T,0.0008552441052607702,0.12557772518409768,0.0001073996092157565,2.0408458359353275e-05,0.0005651909544853408,0.19002358116922427
12,Simulated (Max Sharpe Ratio),JPM,0.0004965179278643862,0.2514993965290867,0.00012487395922376572,2.372899692647965e-05,0.0006571498045422059,0.19002358116922427
13,Simulated (Max Sharpe Ratio),JNJ,0.022547675388318717,0.09436594530140975,0.002127732702368027,0.00040431938787484367,0.011197203469569327,0.19002358116922427
14,Simulated (Max Sharpe Ratio),INTC,0.012550206922461678,0.25524282602853365,0.0032033502821319846,0.0006087120923501647,0.016857646100666115,0.19002358116922427
15,Simulated (Max Sharpe Ratio),GE,0.014256923518072478,0.21858958331998282,0.0031164149712403265,0.0005921923332444719,0.016400148613476676,0.19002358116922427
16,Simulated (Max Sharpe Ratio),MS,0.0007475507857286522,0.3179455910559307,0.00023768047641282172,4.5164895301971716e-05,0.0012507946379621004,0.19002358116922427
17,Simulated (Max Sharpe Ratio),RTX,0.007996310013576466,0.18735850557594586,0.001498176694265658,0.00028468890066863034,0.007884161981619882,0.19002358116922427
18,Simulated (Max Sharpe Ratio),TXN,0.01953251206457974,0.24688032904052495,0.004822193005491469,0.0009163303839926738,0.02537681363449885,0.19002358116922427
19,Simulated (Max Sharpe Ratio),IBM,0.008588605389507746,0.16148936063646752,0.001386968393110525,0.0002635567010273864,0.007298927767682523,0.19002358116922427
20,Simulated (Max Sharpe Ratio),SPGI,0.021323517536073432,0.1915477901065449,0.0040844726613330235,0.0007761461222942932,0.021494556813428444,0.19002358116922427
21,Simulated (Max Sharpe Ratio),LMT,0.03955356598250891,0.11869759630117402,0.0046949132072636925,0.0008921442209229353,0.0247070030907515,0.19002358116922427
22,Simulated (Max Sharpe Ratio),ADP,0.013130470792607324,0.159522820794293,0.0020946097391937963,0.00039802524379354003,0.011022893718272022,0.19002358116922427
23,Simulated (Max Sharpe Ratio),COF,0.009251532607058612,0.2935470906374736,0.0027157604807397763,0.0005160585321480264,0.01429170245097777,0.19002358116922427
24,Simulated (Max Sharpe Ratio),WDC,0.04590895550710076,0.3375587799284109,0.015496971008764631,0.0029447899283611013,0.08155288366533785,0.19002358116922427
25,Simulated (Max Sharpe Ratio),ABT,0.047014990882626735,0.12196994046154076,0.0057344156387538646,0.0010896741955888141,0.030177389582228313,0.19002358116922427
26,Simulated (Max Sharpe Ratio),GILD,0.04211622927193693,0.1754456869834879,0.007389110777769057,0.0014041052916477883,0.03888523062402835,0.19002358116922427
27,Simulated (Max Sharpe Ratio),UNP,0.050760184836706246,0.18759939686553942,0.009522580060149392,0.0018095147650002345,0.05011262287320603,0.19002358116922427
28,Simulated (Max Sharpe Ratio),ADI,0.006545301160670145,0.26308134758168844,0.001721946649677091,0.0003272104689539885,0.009061752436628497,0.19002358116922427
29,Simulated (Max Sharpe Ratio),TMUS,0.014625933609414218,0.1354702894353172,0.0019813794593290775,0.00037650882051685266,0.010427018831755269,0.19002358116922427
30,Simulated (Max Sharpe Ratio),MMM,0.04163509375859926,0.168357306199179,0.007009572228548021,0.001331984017333035,0.03688790720297862,0.19002358116922427
31,Simulated (Max Sharpe Ratio),ADBE,0.019143281045635993,0.24642342472677428,0.004717352875772766,0.0008964082870932797,0.024825091953044276,0.19002358116922427
32,Simulated (Max Sharpe Ratio),AXP,0.0031658784603002454,0.25324372950454777,0.0008017388684445495,0.00015234929094439488,0.004219154609714286,0.19002358116922427
33,Simulated (Max Sharpe Ratio),BA,0.04568114521771257,0.2291886976146895,0.010469602177995046,0.0019894712992797286,0.05509633127412438,0.19002358116922427
34,Simulated (Max Sharpe Ratio),CVX,0.009233838441310163,0.16115410828315863,0.0014880710000400906,0.0002827685804616869,0.007830980717676815,0.19002358116922427
35,Simulated (Max Sharpe Ratio),CSCO,0.014888512639641601,0.22874680652779855,0.0034056997202667806,0.000647163257232119,0.017922510981591578,0.19002358116922427
36,Simulated (Max Sharpe Ratio),DD,0.033293623716258776,0.23684974963685498,0.007885586441699548,0.0014984473752712286,0.041497936167601696,0.19002358116922427
37,Simulated (Max Sharpe Ratio),XOM,0.0006365079326224541,0.14876243682601983,9.468847111600832e-05,1.7993042376902553e-05,0.0004982985297581783,0.19002358116922427
38,Simulated (Max Sharpe Ratio),FDX,0.032560496210717264,0.20955204501427624,0.006823118567635395,0.0012965534249643057,0.03590669392531399,0.19002358116922427
39,Simulated (Max Sharpe Ratio),GS,0.011268408768159726,0.24868584856195225,0.0028022937964527444,0.0005325019026902518,0.014747084436626735,0.19002358116922427
40,Simulated (Max Sharpe Ratio),GM,0.006600177706784487,0.12155249770299761,0.0008022680855432975,0.00015244985467271493,0.004221939617214364,0.19002358116922427
41,Simulated (Max Sharpe Ratio),HAS,0.008414447912998578,0.1665037247473146,0.001401036919206531,0.0002662300527379221,0.007372963453198191,0.19002358116922427
42,Simulated (Max Sharpe Ratio),JBL,0.025085699563575807,0.3108820563460861,0.007798693865204562,0.0014819357367086305,0.04104066357037806,0.19002358116922427
43,Simulated (Max Sharpe Ratio),KMB,0.005507352423522701,0.08745899757926466,0.0004816675222770293,9.152818751598822e-05,0.002534777627667607,0.19002358116922427
44,Simulated (Max Sharpe Ratio),KLAC,0.007832888317118989,0.2947615033301265,0.002308833935770978,0.0004387328928002359,0.012150249571998437,0.19002358116922427
45,Simulated (Max Sharpe Ratio),LOW,0.04531379623593741,0.20632347336910087,0.009349299830938296,0.001776587435299718,0.049200734842547444,0.19002358116922427
46,Simulated (Max Sharpe Ratio),MKC,0.011769932148716128,0.09163567292960341,0.0010785456527833755,0.0002049491073963957,0.0056758516292927,0.19002358116922427
47,Simulated (Max Sharpe Ratio),NEM,0.012840228776439458,0.08024195809017903,0.0010303250993473657,0.00019578606514652323,0.005422090737411249,0.19002358116922427
48,Simulated (Max Sharpe Ratio),OLN,0.00286650688073515,0.24711228483173805,0.0007083490647843614,0.0001346030260081952,0.0037276903236211807,0.19002358116922427
49,Simulated (Max Sharpe Ratio),PH,0.010765957870051978,0.2404262980314081,0.0025884193954587003,0.0004918607230929408,0.013621569383820843,0.19002358116922427
50,Equal-Weight,PPG,0.02,0.20483522943627508,0.004096704588725502,0.0008174259744040541,0.020531508678226493,0.199532564943463
51,Equal-Weight,DELL,0.02,0.08748230663001132,0.0017496461326002265,0.00034911138058113354,0.008768724709653203,0.199532564943463
52,Equal-Weight,QCOM,0.02,0.2550385957199054,0.005100771914398108,0.0010177701032714325,0.02556360620053873,0.199532564943463
53,Equal-Weight,AMAT,0.02,0.3089525794075803,0.006179051588151606,0.0012329220123018685,0.030967634731215044,0.199532564943463
54,Equal-Weight,MRK,0.02,0.12110583893123696,0.002422116778624739,0.00048329117343159217,0.012138954758142056,0.199532564943463
55,Equal-Weight,AME,0.02,0.1948090754225793,0.0038961815084515863,0.0007774150898666358,0.019526544499418222,0.199532564943463
56,Equal-Weight,PG,0.02,0.09340828409521744,0.0018681656819043487,0.00037275989024972833,0.009362710705561713,0.199532564943463
57,Equal-Weight,CL,0.02,0.09374760911906961,0.0018749521823813921,0.00037411401809690287,0.009396722699939505,0.199532564943463
58,Equal-Weight,V,0.02,0.13999552277629282,0.0027999104555258563,0.0005586733148030941,0.014032348335316611,0.199532564943463
59,Equal-Weight,MA,0.02,0.16835548495447133,0.0033671096990894266,0.0006718480347053252,0.01687498830099983,0.199532564943463
60,Equal-Weight,MU,0.02,0.35467196910977594,0.007093439382195519,0.0014153721542004454,0.03555028415640036,0.199532564943463
61,Equal-Weight,T,0.02,0.13232674522435992,0.0026465349044871985,0.0005280698977047335,0.013263674053591636,0.199532564943463
62,Equal-Weight,JPM,0.02,0.2676340535327331,0.0053526810706546624,0.0010680341833520465,0.026826102657334806,0.199532564943463
63,Equal-Weight,JNJ,0.02,0.09220451921618412,0.0018440903843236825,0.0003679560843716808,0.009242052217622724,0.199532564943463
64,Equal-Weight,INTC,0.02,0.2652723270987717,0.005305446541975434,0.0010586093566907846,0.026589376743985215,0.199532564943463
65,Equal-Weight,GE,0.02,0.2242972379325603,0.004485944758651206,0.0008950920638883591,0.022482268796185152,0.199532564943463
66,Equal-Weight,MS,0.02,0.3398720347682171,0.006797440695364342,0.0013563107769971239,0.03406682361493413,0.199532564943463
67,Equal-Weight,RTX,0.02,0.1897283629729516,0.003794567259459032,0.0007571397381303477,0.01901728302111594,0.199532564943463
68,Equal-Weight,TXN,0.02,0.256839275898166,0.00513678551796332,0.0010249559899636565,0.02574409605479093,0.199532564943463
69,Equal-Weight,IBM,0.02,0.16733856116921222,0.0033467712233842444,0.0006677898464808299,0.016773057692775827,0.199532564943463
70,Equal-Weight,SPGI,0.02,0.1912506947630669,0.0038250138952613377,0.0007632148334658813,0.01916987282925544,0.199532564943463
71,Equal-Weight,LMT,0.02,0.11249569643040847,0.002249913928608169,0.0004489310970772115,0.011275923452623767,0.199532564943463
72,Equal-Weight,ADP,0.02,0.16003365950363901,0.0032006731900727802,0.000638638531160998,0.01604085624308835,0.199532564943463
