,Parameter,Model,Parameter Value,Baseline Value,Delta from Baseline,Sharpe Ratio,Sharpe Delta,Annualized Return,Return Delta,Maximum Drawdown,Drawdown Delta,HHI,HHI Delta
0,Lookback Window,Simulated (Max Sharpe Ratio),126.0,252.0,-126.0,-0.6533631257032392,-0.047942122292837674,-0.07835033839497496,-0.0032334105736452345,-0.5622248575712754,0.010479418473988256,0.049048751785525035,-0.0003243304677627845
1,Lookback Window,Simulated (Max Sharpe Ratio),252.0,252.0,0.0,-0.6054210034104015,0.0,-0.07511692782132973,0.0,-0.5727042760452636,0.0,0.04937308225328782,0.0
2,Lookback Window,Simulated (Max Sharpe Ratio),504.0,252.0,252.0,-0.8798406984801231,-0.27441969506972164,-0.09910363567677416,-0.023986707855444434,-0.5209237647553738,0.05178051128988981,0.03592868971736779,-0.01344439253592003
3,Lookback Window,Equal-Weight,126.0,252.0,-126.0,-0.7946669690779355,0.0,-0.08363099259420281,0.0,-0.5375993442041347,0.0,0.020000000000000004,0.0
4,Lookback Window,Equal-Weight,252.0,252.0,0.0,-0.7946669690779355,0.0,-0.08363099259420281,0.0,-0.5375993442041347,0.0,0.020000000000000004,0.0
5,Lookback Window,Equal-Weight,504.0,252.0,252.0,-0.7946669690779355,0.0,-0.08363099259420281,0.0,-0.5375993442041347,0.0,0.020000000000000004,0.0
6,Lookback Window,Markowitz,126.0,252.0,-126.0,-0.6589487060187817,-0.4423500441603848,-0.122122764991206,-0.11162473156223429,-0.6374878512010169,-0.08546340723381551,0.19795420349999998,-0.004169704900000015
7,Lookback Window,Markowitz,252.0,252.0,0.0,-0.21659866185839696,0.0,-0.01049803342897171,0.0,-0.5520244439672014,0.0,0.2021239084,0.0
8,Lookback Window,Markowitz,504.0,252.0,252.0,-0.40906902974690923,-0.19247036788851227,-0.04762832531559469,-0.03713029188662298,-0.5311822467032205,0.020842197263980955,0.2547208408,0.05259693240000002
9,Lookback Window,Black-Litterman,126.0,252.0,-126.0,-1.0297393212506305,-0.1991526889092351,-0.11548183802448553,-0.02149282742712566,-0.5276578830294544,-0.02007846804694824,0.08580407599999999,-0.009616506738522199
10,Lookback Window,Black-Litterman,252.0,252.0,0.0,-0.8305866323413954,0.0,-0.09398901059735987,0.0,-0.5075794149825061,0.0,0.09542058273852219,0.0
11,Lookback Window,Black-Litterman,504.0,252.0,252.0,-0.47463635802375875,0.35595027431763665,-0.05164396586054609,0.042345044736813775,-0.5087688626137383,-0.0011894476312321878,0.1299480792,0.03452749646147782
12,Lookback Window,Risk-Parity,126.0,252.0,-126.0,-1.1220579472157906,-0.04463834513600573,-0.11136547195467705,-0.005902077560424268,-0.5381666189540043,0.00021133420754126941,0.02528120685559395,0.0005057862167914297
13,Lookback Window,Risk-Parity,252.0,252.0,0.0,-1.0774196020797848,0.0,-0.10546339439425279,0.0,-0.5383779531615456,0.0,0.02477542063880252,0.0
14,Lookback Window,Risk-Parity,504.0,252.0,252.0,-0.9751927768098594,0.10222682526992544,-0.09617109271314828,0.009292301681104509,-0.5373774940518622,0.0010004591096833826,0.022766508086448086,-0.0020089125523544346
15,Maximum Weight,Simulated (Max Sharpe Ratio),0.2,0.3,-0.09999999999999998,-0.4612064207559415,0.14421458265446002,-0.049551337943701035,0.02556558987762869,-0.5170202634526908,0.05568401259257283,0.060236240558644426,0.010863158305356606
16,Maximum Weight,Simulated (Max Sharpe Ratio),0.3,0.3,0.0,-0.6054210034104015,0.0,-0.07511692782132973,0.0,-0.5727042760452636,0.0,0.04937308225328782,0.0
17,Maximum Weight,Simulated (Max Sharpe Ratio),0.4,0.3,0.10000000000000003,-0.7273623465310503,-0.12194134312064875,-0.08613409487490076,-0.011017167053571031,-0.553354018806312,0.019350257238951674,0.046828455963607504,-0.0025446262896803157
18,Maximum Weight,Equal-Weight,0.2,0.3,-0.09999999999999998,-0.7946669690779355,0.0,-0.08363099259420281,0.0,-0.5375993442041347,0.0,0.020000000000000004,0.0
