,Historical,EMA,CAPM
PPG,0.0743151183335462,-0.0608038999347823,0.08038294157830125
DELL,0.09826223835814485,0.18233148363916363,0.06202260353404509
QCOM,0.044311355045701495,0.2045934166723078,0.08894626105976228
AMAT,0.0976600269626886,0.8703212093395443,0.0943477509114361
MRK,0.05662887247173609,0.44824123382019176,0.06973180337292503
AME,0.18846556351298438,0.27227348330225354,0.07941837186012404
PG,0.06641430153893357,-0.11795642290612784,0.06484273337874569
CL,0.05917884539619389,-0.08979182894957505,0.06505167493069876
V,0.13725150138017583,0.1381946277411863,0.07148601357746748
MA,0.20866184033967183,0.11302000688262304,0.07591626949312111
MU,0.08187715591265365,3.5985164446974522,0.09990882666105597
T,0.05414596850610787,0.009331199945529223,0.0714437809038109
JPM,0.107076394548967,0.40595497710920236,0.09158501220837105
JNJ,0.0876352720357263,0.4553965175333621,0.06501342130765213
INTC,0.015575258949400705,1.001041743691656,0.08886616982104295
GE,0.03392401606048412,0.624120753063266,0.08425091494584006
MS,0.06717480984166602,0.6403526469100282,0.1030739288752648
RTX,0.11314214624465335,0.5876622759173891,0.07857352997517947
TXN,0.06794798814726732,0.0005780777580657315,0.08713091382709778
IBM,0.06528498509245306,0.34921649872866434,0.0754594458086355
SPGI,0.13704606184398282,0.11381139828642572,0.08047766372087924
LMT,0.15921659174390368,0.1112093356711632,0.06699607882693318
ADP,0.09606419908736696,-0.13101600267569835,0.0753741919905418
COF,0.07933715776079886,0.5347263801311433,0.09672357631448915
WDC,0.17944160265791953,3.646041178514227,0.09323417504993857
ABT,0.11115610975074453,0.016641329154085893,0.06857691654904685
GILD,0.19440988017797323,0.3425565407702795,0.07493238661744075
UNP,0.14781089261435776,0.07049989953094093,0.07719264055758694
ADI,0.09200858503010778,0.4415606153865699,0.08964368268900644
TMUS,0.060838767459204135,-0.12572593304609714,0.07098023463838066
MMM,0.08486946703920628,0.2197100737879336,0.07486468052652988
ADBE,0.12554125352012102,-0.10229179747852657,0.08959008313135056
AXP,0.09850863122399889,0.44957770384532925,0.09070100075766331
BA,0.08533904157503125,0.2540013340959333,0.08287980543764617
CVX,0.09109198783231776,0.07956283806754727,0.07692575367739929
CSCO,0.030704474343477228,0.39931107178842984,0.08632289943155645
DD,0.04840092645211347,0.5393149836499058,0.08503014949261947
XOM,0.07773276284274666,0.20455808408472698,0.07506606948805877
FDX,0.08549888749043433,0.436549077393499,0.08031815469948844
GS,0.10805387815331291,0.7253571287700074,0.09028461255856642
GM,0.04572041984805142,1.1154188653984969,0.06677969228239614
HAS,0.08748580663125671,0.40842286354618174,0.07491301242659598
JBL,0.0858180179267094,0.6297340311740871,0.0956137109162653
KMB,0.05353603694519937,-0.26282138883314654,0.06377914821242453
KLAC,0.15556265280720338,0.8769832534832263,0.09419986734616392
LOW,0.1315363196718189,0.05314729157100695,0.08134271737728016
MKC,0.1143792512545534,-0.014805814629836989,0.06491178913595844
NEM,0.07365828464207458,1.432110933016987,0.06239053822160619
OLN,0.041169350496486956,-0.1277759047604119,0.08734760404930614
PH,0.15423438517831567,0.5632632419836607,0.08650802513229702
