,Model,Factor,Beta,Factor Volatility,Factor Mean Return,Covariance With Portfolio Excess Return,Variance Contribution,Risk Contribution %
0,Simulated (Max Sharpe Ratio),Market Excess,0.7885380366767614,0.1672105643612394,0.1083074349139436,0.0001054033637111964,8.31145614799534e-05,0.5151714337484572
1,Simulated (Max Sharpe Ratio),Size Proxy,-0.03994537940184856,0.16495491320135855,-0.11433916484066237,3.996338042261133e-05,-1.5963523931616165e-06,-0.009894718043494776
2,Simulated (Max Sharpe Ratio),Momentum Proxy,0.17937865637168005,0.28187066197132754,0.1227731255903587,8.412604269262282e-05,1.5090416504069274e-05,0.09353537295793608
3,Simulated (Max Sharpe Ratio),Low Volatility Proxy,-0.155359214137061,0.3076614265017126,-0.26084451294410504,-0.00017067100755246457,2.65153136093313e-05,0.1643506490941886
4,Simulated (Max Sharpe Ratio),Residual,,0.09812687282941675,-5.253192247398025e-15,,3.8209853854287804e-05,0.23683726224291327
5,Equal-Weight,Market Excess,0.8020694678684595,0.1672105643612394,0.1083074349139436,0.00010271470714784165,8.2384330504334e-05,0.702850309559588
6,Equal-Weight,Size Proxy,0.09256426647404731,0.16495491320135855,-0.11433916484066237,5.1421945317413514e-05,4.759834648974954e-06,0.04060785875183515
7,Equal-Weight,Momentum Proxy,0.07309562528097518,0.28187066197132754,0.1227731255903587,3.5566218380035095e-05,2.5997349713683778e-06,0.02217927266281573
8,Equal-Weight,Low Volatility Proxy,-0.07493560098954977,0.3076614265017126,-0.26084451294410504,-0.00014069571806713544,1.0543118190017049e-05,0.08994712754492767
9,Equal-Weight,Residual,,0.06531274841624121,-4.073502099013752e-15,,1.6927599625727058e-05,0.144415431480834
10,Markowitz,Market Excess,0.7640548535652208,0.1672105643612394,0.1083074349139436,9.800382869683117e-05,7.488030098378832e-05,0.3112958880990794
11,Markowitz,Size Proxy,-0.09134513471970462,0.16495491320135855,-0.11433916484066237,2.6347919424087775e-05,-2.40675424937722e-06,-0.010005471287546246
12,Markowitz,Momentum Proxy,0.29847176265952796,0.28187066197132754,0.1227731255903587,0.00011987156551959017,3.577827745338917e-05,0.1487391277569699
13,Markowitz,Low Volatility Proxy,-0.12788156195852385,0.3076614265017126,-0.26084451294410504,-0.00016792531609559659,2.1474551714683736e-05,0.08927501037955736
14,Markowitz,Residual,,0.16711072685592043,-5.437903648502034e-15,,0.00011081744059648432,0.4606954450519397
15,Black-Litterman,Market Excess,0.8414157873110224,0.1672105643612394,0.1083074349139436,9.04472322454134e-05,7.61037291298774e-05,0.6492514548628564
16,Black-Litterman,Size Proxy,-0.01642251130558442,0.16495491320135855,-0.11433916484066237,3.274132036978708e-05,-5.376947039325897e-07,-0.004587147999075313
17,Black-Litterman,Momentum Proxy,0.06647488576980298,0.28187066197132754,0.1227731255903587,2.5364804456168068e-05,1.686122478797162e-06,0.014384544423149041
18,Black-Litterman,Low Volatility Proxy,0.022648051701059435,0.3076614265017126,-0.26084451294410504,-9.780903913162081e-05,-2.2151841750838934e-06,-0.018898043038179713
19,Black-Litterman,Residual,,0.10309961402818511,-3.110539994591517e-15,,4.2180676241114056e-05,0.3598491917512497
20,Risk-Parity,Market Excess,0.7540593803502296,0.1672105643612394,0.1083074349139436,8.295935195152679e-05,6.25562775268249e-05,0.7868957887489155
21,Risk-Parity,Size Proxy,0.08688316429641746,0.16495491320135855,-0.11433916484066237,3.854228227321908e-05,3.3486754431029914e-06,0.04212300840526687
22,Risk-Parity,Momentum Proxy,0.049759329743272185,0.28187066197132754,0.1227731255903587,1.2927305976505934e-05,6.43254080777132e-07,0.00809149692518111
23,Risk-Parity,Low Volatility Proxy,0.04346508573972585,0.3076614265017126,-0.26084451294410504,-8.705286307549714e-05,-3.783760157465098e-06,-0.04759594162661713
24,Risk-Parity,Residual,,0.06493642159535315,-2.4923725055634327e-15,,1.673309067305336e-05,0.21048564754725355
