,Parameter,Model,Sensitivity Scenarios,Sharpe Mean,Sharpe Std,Sharpe Minimum,Sharpe Maximum,Sharpe Range,Positive Sharpe Fraction,Return Mean,Return Std,Worst Max Drawdown,HHI Mean,HHI Std
0,Lookback Window,Simulated (Max Sharpe Ratio),3,-0.7128749425312546,0.14657006692080138,-0.8798406984801231,-0.6054210034104015,0.27441969506972164,0.0,-0.08419030063102628,0.013016121066757527,-0.5727042760452636,0.04478350791872688,0.007670211965612163
1,Lookback Window,Equal-Weight,3,-0.7946669690779355,0.0,-0.7946669690779355,-0.7946669690779355,0.0,0.0,-0.08363099259420281,0.0,-0.5375993442041347,0.020000000000000004,0.0
2,Lookback Window,Markowitz,3,-0.42820546587469593,0.22179504679529757,-0.6589487060187817,-0.21659866185839696,0.4423500441603848,0.0,-0.060083041245257464,0.05684505374921958,-0.6374878512010169,0.21826631756666667,0.03163930795490796
3,Lookback Window,Black-Litterman,3,-0.7783207705385949,0.2812180918403108,-1.0297393212506305,-0.47463635802375875,0.5551029632268718,0.0,-0.0870382714941305,0.032481580336642175,-0.5276578830294544,0.1037242459795074,0.02321392625225577
4,Lookback Window,Risk-Parity,3,-1.0582234420351448,0.07529086259258405,-1.1220579472157906,-0.9751927768098594,0.14686517040593117,0.0,-0.10433331968735937,0.007659966825399463,-0.5383779531615456,0.02427437852694819,0.0013301164886108737
5,Maximum Weight,Simulated (Max Sharpe Ratio),3,-0.5979965902324644,0.13323320021518228,-0.7273623465310503,-0.4612064207559415,0.26615592577510877,0.0,-0.07026745354664383,0.01876732737305556,-0.5727042760452636,0.052145926258513255,0.0071210020253271444
6,Maximum Weight,Equal-Weight,3,-0.7946669690779355,0.0,-0.7946669690779355,-0.7946669690779355,0.0,0.0,-0.08363099259420281,0.0,-0.5375993442041347,0.020000000000000004,0.0
7,Maximum Weight,Markowitz,3,-0.23778664943148262,0.08068589920109724,-0.32695236979216724,-0.16980891664388365,0.1571434531482836,0.0,-0.015295312398839042,0.019202249050585915,-0.5757175013620142,0.19595422973333335,0.02352240409467472
8,Maximum Weight,Black-Litterman,3,-0.8305866323413954,0.0,-0.8305866323413954,-0.8305866323413954,0.0,0.0,-0.09398901059735987,0.0,-0.5075794149825061,0.0954205827385222,1.6996749443881478e-17
9,Maximum Weight,Risk-Parity,3,-1.0774196020797848,0.0,-1.0774196020797848,-1.0774196020797848,0.0,0.0,-0.10546339439425279,0.0,-0.5383779531615456,0.02477542063880252,0.0
10,Risk-Free Rate,Simulated (Max Sharpe Ratio),3,-0.6050979338499305,0.2827156181930795,-0.8876518788189288,-0.3222209193204612,0.5654309594984677,0.0,-0.07026745354664383,0.01876732737305556,-0.5727042760452636,0.052145926258513255,0.0071210020253271444
11,Risk-Free Rate,Equal-Weight,3,-0.7946669690779357,0.1784017959421511,-0.9730687650200868,-0.6162651731357845,0.3568035918843022,0.0,-0.08363099259420281,0.0,-0.5375993442041347,0.020000000000000004,0.0
12,Risk-Free Rate,Markowitz,3,-0.2162717365088543,0.10637460473186992,-0.32248250178297777,-0.10973404588518818,0.2127484558977896,0.0,-0.010500815357137908,1.8036809036113064e-05,-0.5543614647750947,0.20220625059999997,0.00011492802581731769
13,Risk-Free Rate,Black-Litterman,3,-0.8405160589897669,0.1297875676169958,-0.9749831567428203,-0.715978387885085,0.25900476885773527,0.0,-0.0954449992237945,0.018331796475217103,-0.5400090087200125,0.11329830238069123,0.05233605217041274
14,Risk-Free Rate,Risk-Parity,3,-1.0774196020797848,0.20791124617042633,-1.2853308482502113,-0.8695083559093586,0.41582249234085267,0.0,-0.10546339439425279,0.0,-0.5383779531615456,0.02477542063880252,0.0
15,Monte Carlo Simulations,Simulated (Max Sharpe Ratio),3,-0.5979965902324644,0.13323320021518228,-0.7273623465310503,-0.4612064207559415,0.26615592577510877,0.0,-0.07026745354664383,0.01876732737305556,-0.5727042760452636,0.052145926258513255,0.0071210020253271444
16,Monte Carlo Simulations,Equal-Weight,3,-0.7946669690779355,0.0,-0.7946669690779355,-0.7946669690779355,0.0,0.0,-0.08363099259420281,0.0,-0.5375993442041347,0.020000000000000004,0.0
17,Monte Carlo Simulations,Markowitz,3,-0.21659866185839696,0.0,-0.21659866185839696,-0.21659866185839696,0.0,0.0,-0.01049803342897171,0.0,-0.5520244439672014,0.20212390840000002,3.3993498887762956e-17
18,Monte Carlo Simulations,Black-Litterman,3,-0.8305866323413954,0.0,-0.8305866323413954,-0.8305866323413954,0.0,0.0,-0.09398901059735987,0.0,-0.5075794149825061,0.0954205827385222,1.6996749443881478e-17
19,Monte Carlo Simulations,Risk-Parity,3,-1.0774196020797848,0.0,-1.0774196020797848,-1.0774196020797848,0.0,0.0,-0.10546339439425279,0.0,-0.5383779531615456,0.02477542063880252,0.0
