,Date,Model,Ticker,Weight
0,2002-01-02,Simulated (Max Sharpe Ratio),PPG,0.03473748449024783
1,2002-01-02,Simulated (Max Sharpe Ratio),DELL,0.07636196536491016
2,2002-01-02,Simulated (Max Sharpe Ratio),QCOM,0.006307754485171692
3,2002-01-02,Simulated (Max Sharpe Ratio),AMAT,0.0033502002464542
4,2002-01-02,Simulated (Max Sharpe Ratio),MRK,0.0007376349739078596
5,2002-01-02,Simulated (Max Sharpe Ratio),AME,0.016218547138069035
6,2002-01-02,Simulated (Max Sharpe Ratio),PG,0.006378627729652745
7,2002-01-02,Simulated (Max Sharpe Ratio),CL,0.011199461832934833
8,2002-01-02,Simulated (Max Sharpe Ratio),V,0.014379943491285251
9,2002-01-02,Simulated (Max Sharpe Ratio),MA,0.03349067423540789
10,2002-01-02,Simulated (Max Sharpe Ratio),MU,0.009153011219060507
11,2002-01-02,Simulated (Max Sharpe Ratio),T,0.020251406646445237
12,2002-01-02,Simulated (Max Sharpe Ratio),JPM,0.000387822524428025
13,2002-01-02,Simulated (Max Sharpe Ratio),JNJ,0.004692419541309893
14,2002-01-02,Simulated (Max Sharpe Ratio),INTC,0.01192438582154234
15,2002-01-02,Simulated (Max Sharpe Ratio),GE,0.014391709912334079
16,2002-01-02,Simulated (Max Sharpe Ratio),MS,0.02386803460726809
17,2002-01-02,Simulated (Max Sharpe Ratio),RTX,0.02059456945194878
18,2002-01-02,Simulated (Max Sharpe Ratio),TXN,0.00802098894081265
19,2002-01-02,Simulated (Max Sharpe Ratio),IBM,0.02526198730921078
20,2002-01-02,Simulated (Max Sharpe Ratio),SPGI,0.00537204482229263
21,2002-01-02,Simulated (Max Sharpe Ratio),LMT,0.00034667250577888884
22,2002-01-02,Simulated (Max Sharpe Ratio),ADP,0.011244816246320778
23,2002-01-02,Simulated (Max Sharpe Ratio),COF,0.0017153474294751838
24,2002-01-02,Simulated (Max Sharpe Ratio),WDC,0.0011690069829647651
25,2002-01-02,Simulated (Max Sharpe Ratio),ABT,0.015160298052773753
26,2002-01-02,Simulated (Max Sharpe Ratio),GILD,0.03793885824061148
