,Parameter,Parameter Value,Scenario,Model,Calibration End,Validation Start,Validation End,Annualized Return,Gross Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,VaR 95%,CVaR 95%,Terminal Growth,Initial Turnover,Initial Transaction Cost Rate,HHI,Effective Holdings,Active Holdings (>1%),Maximum Weight,Validation Days
0,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),2021-04-28,2021-04-29,2026-08-31,-0.07835033839497496,0.18594032113400027,0.19644564155166652,-0.6533631257032392,-0.9919094322913757,-0.5622248575712754,-0.1393576561759228,-0.01921005366522055,-0.02681284044242081,0.6477982901974824,0.9999999999999999,0.0009999999999999998,0.049048751785525035,20.38787866351196,28,0.12989337353499267,1341
1,Lookback Window,126.0,Lookback Window=126,Equal-Weight,2021-04-28,2021-04-29,2026-08-31,-0.08363099259420281,0.1791453956892013,0.16815974212349222,-0.7946669690779355,-1.1493069385567383,-0.5375993442041347,-0.1555637920615596,-0.016694938738641474,-0.023849392082636048,0.6282902246158959,1.0,0.001,0.020000000000000004,49.99999999999999,50,0.02,1341
2,Lookback Window,126.0,Lookback Window=126,Markowitz,2021-04-28,2021-04-29,2026-08-31,-0.122122764991206,0.12961863883970626,0.2612081386897815,-0.6589487060187817,-1.027582450284722,-0.6374878512010169,-0.19156877226935173,-0.025737785713822237,-0.03577386310052206,0.5000194965927806,1.00001,0.0010000100000000002,0.19795420349999998,5.051673479618735,7,0.26635,1341
3,Lookback Window,126.0,Lookback Window=126,Black-Litterman,2021-04-28,2021-04-29,2026-08-31,-0.11548183802448553,0.13816105702824166,0.16070265028192365,-1.0297393212506305,-1.4629599938905522,-0.5276578830294544,-0.21885741071746523,-0.016007067054351953,-0.023717326425825545,0.520479707960412,1.0,0.001,0.08580407599999999,11.654458000340219,18,0.17228,1341
4,Lookback Window,126.0,Lookback Window=126,Risk-Parity,2021-04-28,2021-04-29,2026-08-31,-0.11136547195467705,0.14345782509761196,0.1438120663510115,-1.1220579472157906,-1.6118274987564774,-0.5381666189540043,-0.20693493061894122,-0.014295944991197795,-0.020661886380152046,0.5334995842495542,1.0000000000000002,0.0010000000000000002,0.02528120685559395,39.55507368425851,47,0.05826134914493875,1341
5,Lookback Window,252.0,Lookback Window=252,Simulated (Max Sharpe Ratio),2021-04-28,2021-04-29,2026-08-31,-0.07511692782132973,0.19010093891949276,0.20666102945971915,-0.6054210034104015,-0.9121108639481782,-0.5727042760452636,-0.13116180717217635,-0.02040468106638993,-0.028207417203827172,0.6599841295839789,0.9999999999999998,0.0009999999999999998,0.04937308225328782,20.253951229334252,29,0.12043812079169251,1341
6,Lookback Window,252.0,Lookback Window=252,Equal-Weight,2021-04-28,2021-04-29,2026-08-31,-0.08363099259420281,0.1791453956892013,0.16815974212349222,-0.7946669690779355,-1.1493069385567383,-0.5375993442041347,-0.1555637920615596,-0.016694938738641474,-0.023849392082636048,0.6282902246158959,1.0,0.001,0.020000000000000004,49.99999999999999,50,0.02,1341
7,Lookback Window,252.0,Lookback Window=252,Markowitz,2021-04-28,2021-04-29,2026-08-31,-0.01049803342897171,0.2732498354682553,0.2793093591156291,-0.21659866185839696,-0.34007532827621595,-0.5520244439672014,-0.019017334365714157,-0.02682010150233627,-0.036683196647899916,0.9453880153952612,1.0,0.001,0.2021239084,4.9474602382070305,7,0.3,1341
8,Lookback Window,252.0,Lookback Window=252,Black-Litterman,2021-04-28,2021-04-29,2026-08-31,-0.09398901059735987,0.16581713039630896,0.17335820851277095,-0.8305866323413954,-1.162741562332007,-0.5075794149825061,-0.18517104481197139,-0.017481748900858185,-0.025456755832765167,0.5914101834217971,0.9999999999999999,0.0009999999999999998,0.09542058273852219,10.479919230217513,16,0.1594868102637947,1341
9,Lookback Window,252.0,Lookback Window=252,Risk-Parity,2021-04-28,2021-04-29,2026-08-31,-0.10546339439425279,0.15105237218959133,0.14429233893104948,-1.0774196020797848,-1.5552275067718973,-0.5383779531615456,-0.19589099771811694,-0.014508518895471778,-0.020637181592408984,0.5526279392171244,1.0,0.001,0.02477542063880252,40.36258413444775,48,0.056790263524080044,1341
