,Parameter,Model,Mean_Return,Std_Return,Return_Range,Mean_Volatility,Volatility_Range,Mean_Sharpe,Sharpe_Std,Sharpe_Range,Mean_Max_Drawdown,Mean_HHI,HHI_Std,Max_Weight_Range,Mean_Active_Holdings
0,Lookback Window,Black-Litterman,-0.0870382714941305,0.032481580336642175,0.06383787216393944,0.1827373671362138,0.053448592332023176,-0.7783207705385949,0.2812180918403108,0.5551029632268718,-0.5146687202085664,0.1037242459795074,0.023213926252255775,0.039793189736205326,14.666666666666666
1,Lookback Window,Equal-Weight,-0.08363099259420281,0.0,0.0,0.16815974212349225,0.0,-0.7946669690779355,0.0,0.0,-0.5375993442041347,0.020000000000000004,0.0,0.0,50.0
2,Lookback Window,Markowitz,-0.060083041245257464,0.05684505374921958,0.11162473156223429,0.25972575981555296,0.04064957747438072,-0.42820546587469605,0.22179504679529757,0.4423500441603848,-0.5735648472904796,0.21826631756666667,0.03163930795490795,0.03365000000000001,6.333333333333333
3,Lookback Window,Risk-Parity,-0.10433331968735937,0.007659966825399463,0.015194379241528777,0.1459979462073049,0.006077366988842203,-1.058223442035145,0.07529086259258397,0.14686517040593117,-0.537974022055804,0.024274378526948182,0.0013301164886108743,0.011229241109267096,48.333333333333336
4,Lookback Window,Simulated (Max Sharpe Ratio),-0.08419030063102628,0.013016121066757525,0.023986707855444434,0.19085776608260632,0.03719440222328582,-0.7128749425312546,0.14657006692080138,0.27441969506972164,-0.5519509661239709,0.04478350791872688,0.007670211965612162,0.04757383975305399,29.333333333333332
5,Maximum Weight,Black-Litterman,-0.09398901059735987,0.0,0.0,0.17335820851277095,0.0,-0.8305866323413954,0.0,0.0,-0.5075794149825061,0.0954205827385222,0.0,0.0,16.0
6,Maximum Weight,Equal-Weight,-0.08363099259420281,0.0,0.0,0.16815974212349225,0.0,-0.7946669690779355,0.0,0.0,-0.5375993442041347,0.020000000000000004,0.0,0.0,50.0
7,Maximum Weight,Markowitz,-0.015295312398839042,0.019202249050585915,0.037494850551225256,0.2773131085481139,0.023859508529994078,-0.23778664943148262,0.08068589920109723,0.1571434531482836,-0.5579227546007509,0.19595422973333335,0.02352240409467472,0.13772,7.0
8,Maximum Weight,Risk-Parity,-0.10546339439425279,0.0,0.0,0.14429233893104948,0.0,-1.0774196020797848,0.0,0.0,-0.5383779531615456,0.02477542063880252,0.0,0.0,48.0
9,Maximum Weight,Simulated (Max Sharpe Ratio),-0.07026745354664383,0.01876732737305556,0.03658275693119972,0.2032240664313247,0.02868853538897756,-0.5979965902324644,0.13323320021518228,0.26615592577510877,-0.5476928527680888,0.05214592625851325,0.007121002025327149,0.10506134018770451,28.333333333333332
10,Monte Carlo Simulations,Black-Litterman,-0.09398901059735987,0.0,0.0,0.17335820851277095,0.0,-0.8305866323413954,0.0,0.0,-0.5075794149825061,0.0954205827385222,0.0,0.0,16.0
11,Monte Carlo Simulations,Equal-Weight,-0.08363099259420281,0.0,0.0,0.16815974212349225,0.0,-0.7946669690779355,0.0,0.0,-0.5375993442041347,0.020000000000000004,0.0,0.0,50.0
12,Monte Carlo Simulations,Markowitz,-0.01049803342897171,0.0,0.0,0.2793093591156291,0.0,-0.21659866185839696,0.0,0.0,-0.5520244439672014,0.20212390840000002,0.0,0.0,7.0
13,Monte Carlo Simulations,Risk-Parity,-0.10546339439425279,0.0,0.0,0.14429233893104948,0.0,-1.0774196020797848,0.0,0.0,-0.5383779531615456,0.02477542063880252,0.0,0.0,48.0
14,Monte Carlo Simulations,Simulated (Max Sharpe Ratio),-0.07026745354664383,0.01876732737305556,0.03658275693119972,0.2032240664313247,0.02868853538897756,-0.5979965902324644,0.13323320021518228,0.26615592577510877,-0.5476928527680888,0.05214592625851325,0.007121002025327149,0.10506134018770451,28.333333333333332
15,Risk-Free Rate,Black-Litterman,-0.0954449992237945,0.018331796475217106,0.03657675955294848,0.1772618616827888,0.08260440998776591,-0.8405160589897669,0.1297875676169958,0.25900476885773527,-0.5272516915357263,0.11329830238069123,0.05233605217041274,0.14167452470950578,14.666666666666666
16,Risk-Free Rate,Equal-Weight,-0.08363099259420281,0.0,0.0,0.16815974212349225,0.0,-0.7946669690779355,0.17840179594215108,0.3568035918843022,-0.5375993442041347,0.020000000000000004,0.0,0.0,50.0
17,Risk-Free Rate,Markowitz,-0.010500815357137908,1.8036809036112868e-05,3.57503643038104e-05,0.27934129547781805,0.002459059706519384,-0.2162717365088543,0.10637460473186991,0.2127484558977896,-0.5520693294733804,0.20220625059999997,0.00011492802581732858,0.0,7.0
18,Risk-Free Rate,Risk-Parity,-0.10546339439425279,0.0,0.0,0.14429233893104948,0.0,-1.0774196020797848,0.20791124617042636,0.41582249234085267,-0.5383779531615456,0.02477542063880252,0.0,0.0,48.0
19,Risk-Free Rate,Simulated (Max Sharpe Ratio),-0.07026745354664383,0.01876732737305556,0.03658275693119972,0.2032240664313247,0.02868853538897756,-0.6050979338499305,0.2827156181930795,0.5654309594984677,-0.5476928527680888,0.05214592625851325,0.007121002025327149,0.10506134018770451,28.333333333333332
