,Date,Model,HHI,Effective Number of Holdings,Active Holdings (>1%),Maximum Weight,Minimum Weight,Allocation Change (L1)
0,2021-01-04,Black-Litterman,0.1517630378,6.589219710519,10,0.23651,0.0,1.0
1,2022-01-03,Black-Litterman,0.0675674516,14.800025401579598,22,0.12075,0.0,1.2757399999999999
2,2023-01-03,Black-Litterman,0.10609257995931425,9.425729870868377,17,0.2072962188865666,0.0,1.1250272814184425
3,2024-01-02,Black-Litterman,0.09107886528611187,10.979495592733134,16,0.1625751227463176,0.0,1.056024305350422
4,2025-01-02,Black-Litterman,0.076128071,13.135759081561385,21,0.12762,0.0,0.6051312496625101
5,2026-01-02,Black-Litterman,0.0945092287,10.580977262805659,15,0.17225,0.0,0.54113
6,2002-01-02,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,1.0
7,2003-01-02,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
8,2004-01-02,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
9,2005-01-03,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
10,2006-01-03,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
11,2007-01-03,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
12,2008-01-02,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
13,2009-01-02,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
14,2010-01-04,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
15,2011-01-03,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
16,2012-01-03,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
17,2013-01-02,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
18,2014-01-02,Equal-Weight,0.020000000000000004,49.99999999999999,50,0.02,0.02,0.0
