,Date,Model,Rolling Annualized Return,Rolling Annualized Volatility,Rolling Sharpe,Rolling 12M Return
0,2021-01-05,Simulated (Max Sharpe Ratio),,,,
1,2021-01-06,Simulated (Max Sharpe Ratio),,,,
2,2021-01-07,Simulated (Max Sharpe Ratio),,,,
3,2021-01-08,Simulated (Max Sharpe Ratio),,,,
4,2021-01-11,Simulated (Max Sharpe Ratio),,,,
5,2021-01-12,Simulated (Max Sharpe Ratio),,,,
6,2021-01-13,Simulated (Max Sharpe Ratio),,,,
7,2021-01-14,Simulated (Max Sharpe Ratio),,,,
8,2021-01-15,Simulated (Max Sharpe Ratio),,,,
9,2021-01-19,Simulated (Max Sharpe Ratio),,,,
10,2021-01-20,Simulated (Max Sharpe Ratio),,,,
11,2021-01-21,Simulated (Max Sharpe Ratio),,,,
12,2021-01-22,Simulated (Max Sharpe Ratio),,,,
13,2021-01-25,Simulated (Max Sharpe Ratio),,,,
14,2021-01-26,Simulated (Max Sharpe Ratio),,,,
15,2021-01-27,Simulated (Max Sharpe Ratio),,,,
16,2021-01-28,Simulated (Max Sharpe Ratio),,,,
17,2021-01-29,Simulated (Max Sharpe Ratio),,,,
18,2021-02-01,Simulated (Max Sharpe Ratio),,,,
19,2021-02-02,Simulated (Max Sharpe Ratio),,,,
20,2021-02-03,Simulated (Max Sharpe Ratio),,,,
21,2021-02-04,Simulated (Max Sharpe Ratio),,,,
22,2021-02-05,Simulated (Max Sharpe Ratio),,,,
23,2021-02-08,Simulated (Max Sharpe Ratio),,,,
24,2021-02-09,Simulated (Max Sharpe Ratio),,,,
25,2021-02-10,Simulated (Max Sharpe Ratio),,,,
26,2021-02-11,Simulated (Max Sharpe Ratio),,,,
27,2021-02-12,Simulated (Max Sharpe Ratio),,,,
28,2021-02-16,Simulated (Max Sharpe Ratio),,,,
29,2021-02-17,Simulated (Max Sharpe Ratio),,,,
30,2021-02-18,Simulated (Max Sharpe Ratio),,,,
31,2021-02-19,Simulated (Max Sharpe Ratio),,,,
32,2021-02-22,Simulated (Max Sharpe Ratio),,,,
33,2021-02-23,Simulated (Max Sharpe Ratio),,,,
34,2021-02-24,Simulated (Max Sharpe Ratio),,,,
35,2021-02-25,Simulated (Max Sharpe Ratio),,,,
36,2021-02-26,Simulated (Max Sharpe Ratio),,,,
37,2021-03-01,Simulated (Max Sharpe Ratio),,,,
38,2021-03-02,Simulated (Max Sharpe Ratio),,,,
39,2021-03-03,Simulated (Max Sharpe Ratio),,,,
40,2021-03-04,Simulated (Max Sharpe Ratio),,,,
41,2021-03-05,Simulated (Max Sharpe Ratio),,,,
42,2021-03-08,Simulated (Max Sharpe Ratio),,,,
43,2021-03-09,Simulated (Max Sharpe Ratio),,,,
44,2021-03-10,Simulated (Max Sharpe Ratio),,,,
45,2021-03-11,Simulated (Max Sharpe Ratio),,,,
46,2021-03-12,Simulated (Max Sharpe Ratio),,,,
47,2021-03-15,Simulated (Max Sharpe Ratio),,,,
48,2021-03-16,Simulated (Max Sharpe Ratio),,,,
49,2021-03-17,Simulated (Max Sharpe Ratio),,,,
50,2021-03-18,Simulated (Max Sharpe Ratio),,,,
51,2021-03-19,Simulated (Max Sharpe Ratio),,,,
52,2021-03-22,Simulated (Max Sharpe Ratio),,,,
53,2021-03-23,Simulated (Max Sharpe Ratio),,,,
54,2021-03-24,Simulated (Max Sharpe Ratio),,,,
55,2021-03-25,Simulated (Max Sharpe Ratio),,,,
56,2021-03-26,Simulated (Max Sharpe Ratio),,,,
57,2021-03-29,Simulated (Max Sharpe Ratio),,,,
58,2021-03-30,Simulated (Max Sharpe Ratio),,,,
59,2021-03-31,Simulated (Max Sharpe Ratio),,,,
60,2021-04-01,Simulated (Max Sharpe Ratio),,,,
61,2021-04-05,Simulated (Max Sharpe Ratio),,,,
62,2021-04-06,Simulated (Max Sharpe Ratio),,,,
63,2021-04-07,Simulated (Max Sharpe Ratio),,,,
64,2021-04-08,Simulated (Max Sharpe Ratio),,,,
65,2021-04-09,Simulated (Max Sharpe Ratio),,,,
66,2021-04-12,Simulated (Max Sharpe Ratio),,,,
67,2021-04-13,Simulated (Max Sharpe Ratio),,,,
68,2021-04-14,Simulated (Max Sharpe Ratio),,,,
69,2021-04-15,Simulated (Max Sharpe Ratio),,,,
70,2021-04-16,Simulated (Max Sharpe Ratio),,,,
71,2021-04-19,Simulated (Max Sharpe Ratio),,,,
72,2021-04-20,Simulated (Max Sharpe Ratio),,,,
73,2021-04-21,Simulated (Max Sharpe Ratio),,,,
74,2021-04-22,Simulated (Max Sharpe Ratio),,,,
75,2021-04-23,Simulated (Max Sharpe Ratio),,,,
76,2021-04-26,Simulated (Max Sharpe Ratio),,,,
77,2021-04-27,Simulated (Max Sharpe Ratio),,,,
78,2021-04-28,Simulated (Max Sharpe Ratio),,,,
79,2021-04-29,Simulated (Max Sharpe Ratio),,,,
80,2021-04-30,Simulated (Max Sharpe Ratio),,,,
81,2021-05-03,Simulated (Max Sharpe Ratio),,,,
82,2021-05-04,Simulated (Max Sharpe Ratio),,,,
83,2021-05-05,Simulated (Max Sharpe Ratio),,,,
84,2021-05-06,Simulated (Max Sharpe Ratio),,,,
85,2021-05-07,Simulated (Max Sharpe Ratio),,,,
86,2021-05-10,Simulated (Max Sharpe Ratio),,,,
87,2021-05-11,Simulated (Max Sharpe Ratio),,,,
88,2021-05-12,Simulated (Max Sharpe Ratio),,,,
89,2021-05-13,Simulated (Max Sharpe Ratio),,,,
90,2021-05-14,Simulated (Max Sharpe Ratio),,,,
91,2021-05-17,Simulated (Max Sharpe Ratio),,,,
92,2021-05-18,Simulated (Max Sharpe Ratio),,,,
93,2021-05-19,Simulated (Max Sharpe Ratio),,,,
94,2021-05-20,Simulated (Max Sharpe Ratio),,,,
95,2021-05-21,Simulated (Max Sharpe Ratio),,,,
96,2021-05-24,Simulated (Max Sharpe Ratio),,,,
97,2021-05-25,Simulated (Max Sharpe Ratio),,,,
98,2021-05-26,Simulated (Max Sharpe Ratio),,,,
99,2021-05-27,Simulated (Max Sharpe Ratio),,,,
100,2021-05-28,Simulated (Max Sharpe Ratio),,,,
101,2021-06-01,Simulated (Max Sharpe Ratio),,,,
102,2021-06-02,Simulated (Max Sharpe Ratio),,,,
103,2021-06-03,Simulated (Max Sharpe Ratio),,,,
104,2021-06-04,Simulated (Max Sharpe Ratio),,,,
105,2021-06-07,Simulated (Max Sharpe Ratio),,,,
106,2021-06-08,Simulated (Max Sharpe Ratio),,,,
107,2021-06-09,Simulated (Max Sharpe Ratio),,,,
108,2021-06-10,Simulated (Max Sharpe Ratio),,,,
109,2021-06-11,Simulated (Max Sharpe Ratio),,,,
110,2021-06-14,Simulated (Max Sharpe Ratio),,,,
111,2021-06-15,Simulated (Max Sharpe Ratio),,,,
112,2021-06-16,Simulated (Max Sharpe Ratio),,,,
113,2021-06-17,Simulated (Max Sharpe Ratio),,,,
114,2021-06-18,Simulated (Max Sharpe Ratio),,,,
115,2021-06-21,Simulated (Max Sharpe Ratio),,,,
116,2021-06-22,Simulated (Max Sharpe Ratio),,,,
117,2021-06-23,Simulated (Max Sharpe Ratio),,,,
118,2021-06-24,Simulated (Max Sharpe Ratio),,,,
119,2021-06-25,Simulated (Max Sharpe Ratio),,,,
120,2021-06-28,Simulated (Max Sharpe Ratio),,,,
121,2021-06-29,Simulated (Max Sharpe Ratio),,,,
122,2021-06-30,Simulated (Max Sharpe Ratio),,,,
123,2021-07-01,Simulated (Max Sharpe Ratio),,,,
124,2021-07-02,Simulated (Max Sharpe Ratio),,,,
125,2021-07-06,Simulated (Max Sharpe Ratio),,,,
126,2021-07-07,Simulated (Max Sharpe Ratio),,,,
127,2021-07-08,Simulated (Max Sharpe Ratio),,,,
128,2021-07-09,Simulated (Max Sharpe Ratio),,,,
129,2021-07-12,Simulated (Max Sharpe Ratio),,,,
130,2021-07-13,Simulated (Max Sharpe Ratio),,,,
131,2021-07-14,Simulated (Max Sharpe Ratio),,,,
132,2021-07-15,Simulated (Max Sharpe Ratio),,,,
133,2021-07-16,Simulated (Max Sharpe Ratio),,,,
134,2021-07-19,Simulated (Max Sharpe Ratio),,,,
135,2021-07-20,Simulated (Max Sharpe Ratio),,,,
136,2021-07-21,Simulated (Max Sharpe Ratio),,,,
137,2021-07-22,Simulated (Max Sharpe Ratio),,,,
138,2021-07-23,Simulated (Max Sharpe Ratio),,,,
139,2021-07-26,Simulated (Max Sharpe Ratio),,,,
140,2021-07-27,Simulated (Max Sharpe Ratio),,,,
141,2021-07-28,Simulated (Max Sharpe Ratio),,,,
142,2021-07-29,Simulated (Max Sharpe Ratio),,,,
143,2021-07-30,Simulated (Max Sharpe Ratio),,,,
144,2021-08-02,Simulated (Max Sharpe Ratio),,,,
145,2021-08-03,Simulated (Max Sharpe Ratio),,,,
146,2021-08-04,Simulated (Max Sharpe Ratio),,,,
147,2021-08-05,Simulated (Max Sharpe Ratio),,,,
148,2021-08-06,Simulated (Max Sharpe Ratio),,,,
149,2021-08-09,Simulated (Max Sharpe Ratio),,,,
150,2021-08-10,Simulated (Max Sharpe Ratio),,,,
151,2021-08-11,Simulated (Max Sharpe Ratio),,,,
152,2021-08-12,Simulated (Max Sharpe Ratio),,,,
153,2021-08-13,Simulated (Max Sharpe Ratio),,,,
154,2021-08-16,Simulated (Max Sharpe Ratio),,,,
155,2021-08-17,Simulated (Max Sharpe Ratio),,,,
156,2021-08-18,Simulated (Max Sharpe Ratio),,,,
157,2021-08-19,Simulated (Max Sharpe Ratio),,,,
158,2021-08-20,Simulated (Max Sharpe Ratio),,,,
159,2021-08-23,Simulated (Max Sharpe Ratio),,,,
160,2021-08-24,Simulated (Max Sharpe Ratio),,,,
161,2021-08-25,Simulated (Max Sharpe Ratio),,,,
162,2021-08-26,Simulated (Max Sharpe Ratio),,,,
163,2021-08-27,Simulated (Max Sharpe Ratio),,,,
164,2021-08-30,Simulated (Max Sharpe Ratio),,,,
165,2021-08-31,Simulated (Max Sharpe Ratio),,,,
166,2021-09-01,Simulated (Max Sharpe Ratio),,,,
167,2021-09-02,Simulated (Max Sharpe Ratio),,,,
168,2021-09-03,Simulated (Max Sharpe Ratio),,,,
169,2021-09-07,Simulated (Max Sharpe Ratio),,,,
170,2021-09-08,Simulated (Max Sharpe Ratio),,,,
171,2021-09-09,Simulated (Max Sharpe Ratio),,,,
172,2021-09-10,Simulated (Max Sharpe Ratio),,,,
173,2021-09-13,Simulated (Max Sharpe Ratio),,,,
174,2021-09-14,Simulated (Max Sharpe Ratio),,,,
175,2021-09-15,Simulated (Max Sharpe Ratio),,,,
176,2021-09-16,Simulated (Max Sharpe Ratio),,,,
177,2021-09-17,Simulated (Max Sharpe Ratio),,,,
178,2021-09-20,Simulated (Max Sharpe Ratio),,,,
179,2021-09-21,Simulated (Max Sharpe Ratio),,,,
180,2021-09-22,Simulated (Max Sharpe Ratio),,,,
181,2021-09-23,Simulated (Max Sharpe Ratio),,,,
182,2021-09-24,Simulated (Max Sharpe Ratio),,,,
183,2021-09-27,Simulated (Max Sharpe Ratio),,,,
184,2021-09-28,Simulated (Max Sharpe Ratio),,,,
185,2021-09-29,Simulated (Max Sharpe Ratio),,,,
186,2021-09-30,Simulated (Max Sharpe Ratio),,,,
187,2021-10-01,Simulated (Max Sharpe Ratio),,,,
188,2021-10-04,Simulated (Max Sharpe Ratio),,,,
189,2021-10-05,Simulated (Max Sharpe Ratio),,,,
190,2021-10-06,Simulated (Max Sharpe Ratio),,,,
191,2021-10-07,Simulated (Max Sharpe Ratio),,,,
192,2021-10-08,Simulated (Max Sharpe Ratio),,,,
193,2021-10-11,Simulated (Max Sharpe Ratio),,,,
194,2021-10-12,Simulated (Max Sharpe Ratio),,,,
195,2021-10-13,Simulated (Max Sharpe Ratio),,,,
196,2021-10-14,Simulated (Max Sharpe Ratio),,,,
197,2021-10-15,Simulated (Max Sharpe Ratio),,,,
198,2021-10-18,Simulated (Max Sharpe Ratio),,,,
199,2021-10-19,Simulated (Max Sharpe Ratio),,,,
200,2021-10-20,Simulated (Max Sharpe Ratio),,,,
201,2021-10-21,Simulated (Max Sharpe Ratio),,,,
202,2021-10-22,Simulated (Max Sharpe Ratio),,,,
203,2021-10-25,Simulated (Max Sharpe Ratio),,,,
204,2021-10-26,Simulated (Max Sharpe Ratio),,,,
205,2021-10-27,Simulated (Max Sharpe Ratio),,,,
206,2021-10-28,Simulated (Max Sharpe Ratio),,,,
207,2021-10-29,Simulated (Max Sharpe Ratio),,,,
208,2021-11-01,Simulated (Max Sharpe Ratio),,,,
209,2021-11-02,Simulated (Max Sharpe Ratio),,,,
210,2021-11-03,Simulated (Max Sharpe Ratio),,,,
211,2021-11-04,Simulated (Max Sharpe Ratio),,,,
212,2021-11-05,Simulated (Max Sharpe Ratio),,,,
213,2021-11-08,Simulated (Max Sharpe Ratio),,,,
214,2021-11-09,Simulated (Max Sharpe Ratio),,,,
215,2021-11-10,Simulated (Max Sharpe Ratio),,,,
216,2021-11-11,Simulated (Max Sharpe Ratio),,,,
217,2021-11-12,Simulated (Max Sharpe Ratio),,,,
218,2021-11-15,Simulated (Max Sharpe Ratio),,,,
219,2021-11-16,Simulated (Max Sharpe Ratio),,,,
220,2021-11-17,Simulated (Max Sharpe Ratio),,,,
221,2021-11-18,Simulated (Max Sharpe Ratio),,,,
222,2021-11-19,Simulated (Max Sharpe Ratio),,,,
223,2021-11-22,Simulated (Max Sharpe Ratio),,,,
224,2021-11-23,Simulated (Max Sharpe Ratio),,,,
225,2021-11-24,Simulated (Max Sharpe Ratio),,,,
226,2021-11-26,Simulated (Max Sharpe Ratio),,,,
227,2021-11-29,Simulated (Max Sharpe Ratio),,,,
228,2021-11-30,Simulated (Max Sharpe Ratio),,,,
229,2021-12-01,Simulated (Max Sharpe Ratio),,,,
230,2021-12-02,Simulated (Max Sharpe Ratio),,,,
231,2021-12-03,Simulated (Max Sharpe Ratio),,,,
232,2021-12-06,Simulated (Max Sharpe Ratio),,,,
233,2021-12-07,Simulated (Max Sharpe Ratio),,,,
234,2021-12-08,Simulated (Max Sharpe Ratio),,,,
235,2021-12-09,Simulated (Max Sharpe Ratio),,,,
236,2021-12-10,Simulated (Max Sharpe Ratio),,,,
237,2021-12-13,Simulated (Max Sharpe Ratio),,,,
238,2021-12-14,Simulated (Max Sharpe Ratio),,,,
239,2021-12-15,Simulated (Max Sharpe Ratio),,,,
240,2021-12-16,Simulated (Max Sharpe Ratio),,,,
241,2021-12-17,Simulated (Max Sharpe Ratio),,,,
242,2021-12-20,Simulated (Max Sharpe Ratio),,,,
243,2021-12-21,Simulated (Max Sharpe Ratio),,,,
244,2021-12-22,Simulated (Max Sharpe Ratio),,,,
245,2021-12-23,Simulated (Max Sharpe Ratio),,,,
246,2021-12-27,Simulated (Max Sharpe Ratio),,,,
247,2021-12-28,Simulated (Max Sharpe Ratio),,,,
248,2021-12-29,Simulated (Max Sharpe Ratio),,,,
249,2021-12-30,Simulated (Max Sharpe Ratio),,,,
250,2021-12-31,Simulated (Max Sharpe Ratio),,,,
251,2022-01-03,Simulated (Max Sharpe Ratio),0.19728869043554187,0.15296844037864843,0.9628697924287699,0.20390575741386985
252,2022-01-04,Simulated (Max Sharpe Ratio),0.19358938354582433,0.15274485379538705,0.9400603685029734,0.1995041987497741
253,2022-01-05,Simulated (Max Sharpe Ratio),0.17914595057327853,0.1532205046677666,0.8428764208374737,0.1822300821268934
254,2022-01-06,Simulated (Max Sharpe Ratio),0.1690474050612153,0.15277585885303632,0.7792291658836863,0.17043808832247587
255,2022-01-07,Simulated (Max Sharpe Ratio),0.16503890651049602,0.1527844069735179,0.7529492622269739,0.16575735406855352
