Ticker,Expected Return,Rank
PPG,0.07681175649113126,34.0
DELL,0.15042936152362274,9.0
QCOM,0.04345546352184382,48.0
AMAT,0.11936272095134615,14.0
MRK,0.0693115559186237,37.0
AME,0.1895889102381092,4.0
PG,0.06610195774426231,38.0
CL,0.06349752321877955,39.0
V,0.13724368629202477,10.0
MA,0.20466250061117996,2.0
MU,0.13011239532938745,11.0
T,0.05581291944940947,41.0
JPM,0.10902756677692693,18.0
JNJ,0.09629907575024221,25.0
INTC,0.049571553271578805,45.0
GE,0.03652248782671341,49.0
MS,0.07349842735557477,35.0
RTX,0.11585480491798306,15.0
TXN,0.08337035099083612,31.0
IBM,0.05501174036539802,43.0
SPGI,0.12836868574154825,12.0
LMT,0.16197315360802333,6.0
ADP,0.09861933440620496,23.0
COF,0.072835638703173,36.0
WDC,0.2178914372913432,1.0
ABT,0.10375040452790452,19.0
GILD,0.19760424248448083,3.0
UNP,0.1558826178112751,7.0
ADI,0.10178274184592229,22.0
TMUS,0.05523320436910417,42.0
MMM,0.08613646932955876,30.0
ADBE,0.11474741948571943,16.0
AXP,0.09161219509629426,28.0
BA,0.08135170275568315,33.0
CVX,0.10230885884082408,21.0
CSCO,0.044561765255807684,47.0
DD,0.051992246785661056,44.0
XOM,0.08837145300326865,29.0
FDX,0.0975991312741109,24.0
GS,0.11208463713017447,17.0
GM,0.047087278329570825,46.0
HAS,0.09178220027502926,27.0
JBL,0.09558598080326774,26.0
KMB,0.05588313179187043,40.0
KLAC,0.16760635024453352,5.0
LOW,0.12180043559815634,13.0
MKC,0.10264893750705495,20.0
NEM,0.08137925067900675,32.0
OLN,0.03414663514311922,50.0
PH,0.155097559572013,8.0
