,Parameter,Parameter Value,Scenario,Model,Ticker,Weight
0,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),PPG,0.0004916417905451048
1,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),DELL,0.0007682858442878438
2,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),QCOM,0.03520400715291738
3,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),AMAT,0.12989337353499267
4,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),MRK,0.051986955019382185
5,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),AME,0.0016227590679623247
6,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),PG,0.0217232142992451
7,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),CL,0.014795201882810177
8,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),V,0.023063211849336903
9,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),MA,0.007395200470734787
10,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),MU,0.0006591802721931777
11,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),T,0.0017633743228703891
12,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),JPM,0.019375059398604306
13,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),JNJ,0.006446172737952285
14,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),INTC,0.01360483481567381
15,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),GE,0.026971997092707048
16,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),MS,0.002155262180396826
17,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),RTX,0.012814024053748528
18,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),TXN,0.01212544800714086
19,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),IBM,0.015308679509167665
20,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),SPGI,0.0010974638226131613
21,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),LMT,0.01370833163954031
22,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),ADP,0.005781090715901341
23,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),COF,0.001524162437586468
24,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),WDC,0.0453601262515209
25,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),ABT,0.006075180173480972
26,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),GILD,0.04614756736267494
27,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),UNP,0.02277796370832975
28,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),ADI,0.0073784305158730345
29,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),TMUS,0.018915570500273374
30,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),MMM,0.06545463087785679
31,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),ADBE,0.025967800995213813
32,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),AXP,0.0023196336580829915
33,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),BA,0.007620117797719825
34,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),CVX,0.008383952193355719
35,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),CSCO,0.001397598691600091
36,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),DD,0.0035731835038384247
37,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),XOM,0.012034595340817768
38,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),FDX,0.013944739402832567
39,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),GS,0.04850603900995952
40,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),GM,0.030601078398541048
41,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),HAS,0.006016177975827197
42,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),JBL,0.03440477321511766
43,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),KMB,0.03820424530887795
44,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),KLAC,0.012469512847956603
45,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),LOW,0.005109232230172634
46,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),MKC,0.004923839489196358
47,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),NEM,0.009136423168612927
48,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),OLN,0.08811617091471148
49,Lookback Window,126.0,Lookback Window=126,Simulated (Max Sharpe Ratio),PH,0.01488248454924504
50,Lookback Window,126.0,Lookback Window=126,Equal-Weight,PPG,0.02
51,Lookback Window,126.0,Lookback Window=126,Equal-Weight,DELL,0.02
52,Lookback Window,126.0,Lookback Window=126,Equal-Weight,QCOM,0.02
53,Lookback Window,126.0,Lookback Window=126,Equal-Weight,AMAT,0.02
54,Lookback Window,126.0,Lookback Window=126,Equal-Weight,MRK,0.02
55,Lookback Window,126.0,Lookback Window=126,Equal-Weight,AME,0.02
56,Lookback Window,126.0,Lookback Window=126,Equal-Weight,PG,0.02
57,Lookback Window,126.0,Lookback Window=126,Equal-Weight,CL,0.02
58,Lookback Window,126.0,Lookback Window=126,Equal-Weight,V,0.02
59,Lookback Window,126.0,Lookback Window=126,Equal-Weight,MA,0.02
60,Lookback Window,126.0,Lookback Window=126,Equal-Weight,MU,0.02
61,Lookback Window,126.0,Lookback Window=126,Equal-Weight,T,0.02
62,Lookback Window,126.0,Lookback Window=126,Equal-Weight,JPM,0.02
63,Lookback Window,126.0,Lookback Window=126,Equal-Weight,JNJ,0.02
64,Lookback Window,126.0,Lookback Window=126,Equal-Weight,INTC,0.02
65,Lookback Window,126.0,Lookback Window=126,Equal-Weight,GE,0.02
66,Lookback Window,126.0,Lookback Window=126,Equal-Weight,MS,0.02
67,Lookback Window,126.0,Lookback Window=126,Equal-Weight,RTX,0.02
68,Lookback Window,126.0,Lookback Window=126,Equal-Weight,TXN,0.02
69,Lookback Window,126.0,Lookback Window=126,Equal-Weight,IBM,0.02
70,Lookback Window,126.0,Lookback Window=126,Equal-Weight,SPGI,0.02
71,Lookback Window,126.0,Lookback Window=126,Equal-Weight,LMT,0.02
72,Lookback Window,126.0,Lookback Window=126,Equal-Weight,ADP,0.02
73,Lookback Window,126.0,Lookback Window=126,Equal-Weight,COF,0.02
74,Lookback Window,126.0,Lookback Window=126,Equal-Weight,WDC,0.02
75,Lookback Window,126.0,Lookback Window=126,Equal-Weight,ABT,0.02
76,Lookback Window,126.0,Lookback Window=126,Equal-Weight,GILD,0.02
77,Lookback Window,126.0,Lookback Window=126,Equal-Weight,UNP,0.02
78,Lookback Window,126.0,Lookback Window=126,Equal-Weight,ADI,0.02
79,Lookback Window,126.0,Lookback Window=126,Equal-Weight,TMUS,0.02
80,Lookback Window,126.0,Lookback Window=126,Equal-Weight,MMM,0.02
81,Lookback Window,126.0,Lookback Window=126,Equal-Weight,ADBE,0.02
82,Lookback Window,126.0,Lookback Window=126,Equal-Weight,AXP,0.02
83,Lookback Window,126.0,Lookback Window=126,Equal-Weight,BA,0.02
84,Lookback Window,126.0,Lookback Window=126,Equal-Weight,CVX,0.02
85,Lookback Window,126.0,Lookback Window=126,Equal-Weight,CSCO,0.02
86,Lookback Window,126.0,Lookback Window=126,Equal-Weight,DD,0.02
87,Lookback Window,126.0,Lookback Window=126,Equal-Weight,XOM,0.02
88,Lookback Window,126.0,Lookback Window=126,Equal-Weight,FDX,0.02
89,Lookback Window,126.0,Lookback Window=126,Equal-Weight,GS,0.02
90,Lookback Window,126.0,Lookback Window=126,Equal-Weight,GM,0.02
91,Lookback Window,126.0,Lookback Window=126,Equal-Weight,HAS,0.02
92,Lookback Window,126.0,Lookback Window=126,Equal-Weight,JBL,0.02
93,Lookback Window,126.0,Lookback Window=126,Equal-Weight,KMB,0.02
94,Lookback Window,126.0,Lookback Window=126,Equal-Weight,KLAC,0.02
95,Lookback Window,126.0,Lookback Window=126,Equal-Weight,LOW,0.02
96,Lookback Window,126.0,Lookback Window=126,Equal-Weight,MKC,0.02
