,Scenario,Portfolio,Cumulative Return,Stress Return,Volatility,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,"Value-at-Risk (VaR, 95%)","Conditional Value-at-Risk (CVaR, 95%)",Worst Day,Best Day,Recovery Days,Sharpe Rank
33,2026 Iran War,Black-Litterman,0.24435855053099265,0.7813526396324806,0.22903207793306726,3.193232346458527,7.259124460078563,10.309950135852596,-0.07578626757032958,-0.017417104043585232,-0.019962956233539667,-0.0235220662495563,0.0636583802282271,14.0,1.0
31,2026 Iran War,Markowitz,0.15571463663723462,0.5264641261088016,0.23298103225665043,2.0450768952896206,4.74724515821143,9.016546175406424,-0.05838866855080138,-0.01826783386326095,-0.022042958376210394,-0.025251760259128918,0.06377604449257529,21.0,2.0
30,2026 Iran War,Equal Weight,0.11131400008210535,0.3787600636295638,0.16965739600130705,1.9377879855413498,3.4903323746291535,4.902791825240819,-0.07725395593580187,-0.016138935323275466,-0.017998865859866084,-0.019408899084219933,0.03233328715782954,18.0,3.0
32,2026 Iran War,Monte Carlo,0.11526194656928612,0.3931331935727671,0.18192763200717063,1.886097179340204,3.5010490306161186,4.671813418381898,-0.08415002020969631,-0.017429324806920513,-0.019225033624398025,-0.019935882803948327,0.03367959058323856,18.0,4.0
34,2026 Iran War,Risk Parity,0.06439914840417749,0.22621007891856798,0.14726666286996476,1.1965374612593755,2.2363779327655613,2.9723878630705522,-0.07610382269724625,-0.013483757995610727,-0.01570028312394607,-0.017403998346980854,0.027332271455242675,37.0,5.0
16,COVID Crash,Markowitz,0.015785751584715957,0.18088194151560447,0.5349427101943024,0.24466534270196033,0.31366165099224774,0.548048268166149,-0.33004746483528236,-0.04794787010391998,-0.0789850401703842,-0.11330917993789277,0.11421271116652026,,1.0
18,COVID Crash,Black-Litterman,-0.008454270810229647,0.14629893719709203,0.5793262431903335,0.16622574642359794,0.22603965131382792,0.3874404543852531,-0.3776036692637652,-0.0540551954579449,-0.08244159481948064,-0.12904676676397792,0.13252138080628253,,2.0
17,COVID Crash,Monte Carlo,-0.010817741703275985,0.12904065253689606,0.5574318503395213,0.14179428837579677,0.1835514417366813,0.35493097981647587,-0.3635654813891397,-0.055815195364329495,-0.08469675141681991,-0.12980307608518424,0.11727340738538958,,3.0
19,COVID Crash,Risk Parity,-0.02397782203949861,0.08203266917529974,0.5314514140095095,0.06027393724222278,0.07999312049113246,0.23465912903286962,-0.34958226220898103,-0.05131948874192171,-0.07994237686727905,-0.11634201494639634,0.11311463075133998,,4.0
15,COVID Crash,Equal Weight,-0.03956635662552721,0.06556243351443809,0.5719302025977357,0.02721037190159347,0.03630717667059991,0.17690860461490632,-0.3706005915153423,-0.0563257236752997,-0.0864550062852343,-0.1273538227569452,0.11917661865018302,,5.0
