,Model,Transaction Cost Rate,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,VaR 95%,CVaR 95%,Terminal Growth
0,Simulated (Max Sharpe Ratio),0.0005,0.24210322942244233,0.20165413797031534,0.9526371804516159,1.3399550523549142,-0.21318419465705007,1.1356528086517594,-0.01861842713520285,-0.028881906784897247,3.3929004362551205
1,Simulated (Max Sharpe Ratio),0.001,0.24154019785175906,0.20164378224494373,0.9498938956574844,1.3361926815846596,-0.21318419465705052,1.1330117518342524,-0.01861842713520285,-0.028881906784897247,3.384243229900175
2,Simulated (Max Sharpe Ratio),0.002,0.24041402828785063,0.2016265846512868,0.9443894941590749,1.3289072388621865,-0.21318419465704952,1.1277291389945951,-0.01861842713520285,-0.028881906784897247,3.3669816921548237
3,Equal-Weight,0.0005,0.2083399542995905,0.17188184501096554,0.9212139553743383,1.3588219328685924,-0.23946056719651432,0.87003867375214,-0.01614234649216768,-0.023320104390766466,2.904887097821009
4,Equal-Weight,0.001,0.20823384489293284,0.17187917456983784,0.920610919204987,1.3579318174949115,-0.2394605671965131,0.8695955552550159,-0.01614234649216768,-0.023320104390766466,2.9034499765074284
5,Equal-Weight,0.002,0.20802162083530495,0.17187399561199915,0.9194038939551651,1.3561235731991905,-0.2394605671965132,0.8687092963602316,-0.01614234649216768,-0.023320104390766466,2.900577417311265
6,Markowitz,0.0005,0.1902218702825107,0.24622204953735108,0.5694935548866817,0.8050123741651746,-0.24260908397285008,0.7840673859672874,-0.021657845362290085,-0.03580810247155662,2.667825145242858
7,Markowitz,0.001,0.1892854699413491,0.24620884811095256,0.5657208138944744,0.7997176302771778,-0.2433672330379426,0.7777771377786022,-0.021657845362290085,-0.03580810247155662,2.6560195739424803
8,Markowitz,0.002,0.18741235321239635,0.2461911396549877,0.5581531220212314,0.7890782572536309,-0.2448835311681269,0.7653121968570716,-0.021657845362290085,-0.03580810247155662,2.6325333731589184
9,Black-Litterman,0.0005,0.18640637549824723,0.17188580294696376,0.7935872140664004,1.1220409175479522,-0.24578484687842805,0.758412806426789,-0.01640955729969635,-0.024138385782311218,2.6199905341026053
10,Black-Litterman,0.001,0.1859103412061831,0.17187884124931932,0.7907334039391039,1.1180280332026449,-0.24578484687842783,0.7563946417662585,-0.01640955729969635,-0.024138385782311218,2.6138239456468675
11,Black-Litterman,0.002,0.18491814023834152,0.17186863690206733,0.785007332752743,1.1102499287657825,-0.24578484687842705,0.7523577738289451,-0.01640955729969635,-0.024138385782311218,2.6015249428345606
12,Risk-Parity,0.0005,0.16524049173170163,0.1415537312423646,0.8141112969631996,1.1916992575066505,-0.21250794128635242,0.7775732555285624,-0.013204150039222711,-0.019440547185179242,2.3672626912017676
13,Risk-Parity,0.001,0.16512404817851478,0.14155166092090452,0.8133005817773002,1.190544261065237,-0.21250794128635297,0.7770253063437816,-0.013204150039222711,-0.019440547185179242,2.365929987627449
14,Risk-Parity,0.002,0.1648911556168151,0.14154776609157663,0.8116776321463414,1.188230600049755,-0.21250794128635142,0.7759293823030671,-0.013204150039222711,-0.019440547185179242,2.3632663694590064
