Date,Simulated (Max Sharpe Ratio),Equal-Weight,Markowitz,Black-Litterman,Risk-Parity
2021-01-05,1011827.2191395245,1012434.1997508173,1005215.7167089419,1009945.0594347398,1009869.8565782247
2021-01-06,1014805.2695448528,1029608.2679687642,1009651.79211279,1004205.8963358176,1024679.5426148876
2021-01-07,1027439.609161581,1040243.1370377807,1014071.38963028,1025458.5748164618,1033421.0525953299
2021-01-08,1029846.4976981874,1039909.7598867025,1010011.2949562971,1026459.5914729604,1032677.6310063136
2021-01-11,1027066.0772130837,1041729.3140893001,1001421.6965360079,1025920.8013566161,1032805.0333364442
2021-01-12,1026545.6593381353,1048785.612665038,994307.610679249,1024988.8299248869,1037291.354195211
2021-01-13,1030005.0789797833,1046372.3750013758,999868.6085579775,1024309.7161672486,1035333.1314693404
2021-01-14,1036479.9974347459,1054865.3503263367,1005118.8255396961,1027077.1169833848,1041967.2232039548
2021-01-15,1025990.5249496677,1043644.9721914368,996054.1852643309,1019815.4458355986,1033363.5951296897
2021-01-19,1042825.2895170179,1056915.0691204043,1010256.2236529447,1047377.3940544316,1045066.1085834531
2021-01-20,1045695.1112736833,1059356.2909601233,1025584.7288494052,1048133.1605205275,1048371.6771885342
2021-01-21,1043081.4464718549,1053396.4512340915,1018611.2652241283,1051428.4419773847,1042207.1979672359
2021-01-22,1031006.1600331459,1041045.3666774563,1012673.3014393644,1036547.2969815207,1031626.2808451996
2021-01-25,1036620.6099953522,1038394.8438020928,1016682.0992012954,1036167.1779116233,1032416.161343772
2021-01-26,1033647.2164817248,1032986.1294137681,1010497.9669762704,1028641.8857103327,1028733.6355483244
2021-01-27,1000153.7451127395,1007580.4115809841,961806.9217791187,981766.703488866,1004802.4472179181
2021-01-28,1010999.2539291877,1023702.2789668102,978246.1749718315,1006702.4869073835,1017743.1062155917
2021-01-29,997649.5310307546,1007089.2487620933,968812.8190126875,988792.36576454,1002407.7831784822
2021-02-01,1015426.3619533818,1019355.1161594702,987208.2679647163,1015946.995052821,1012674.3570461693
2021-02-02,1032418.4567620846,1037000.3831210446,1002145.1976506534,1038813.8979902331,1026954.1954548908
2021-02-03,1024084.3932879814,1034164.2214036504,988594.9546201891,1017551.0603512409,1023332.9367383652
2021-02-04,1015571.9805400892,1047839.434822973,968817.8174110358,1043247.2968198984,1034205.1129726401
2021-02-05,1013252.677668304,1051082.1634550537,965346.130734169,1038085.5580945829,1039422.9310483584
