,Model,Trade Date,Trade Type,Turnover,Transaction Cost Rate,Transaction Cost ($),Portfolio Value Before Trade,Portfolio Value After Trade
0,Simulated (Max Sharpe Ratio),2021-01-05,Initial Deployment,1.0000000000000002,0.0010000000000000002,1000.0000000000002,1000000.0,999000.0
1,Simulated (Max Sharpe Ratio),2022-01-03,Annual Rebalance,1.1652377025388636,0.0011652377025388636,1404.4729236450767,1205310.2303375169,1203905.7574138718
2,Simulated (Max Sharpe Ratio),2023-01-03,Annual Rebalance,0.9184946215322528,0.0009184946215322528,1033.7096710712435,1125439.0029489629,1124405.2932778916
3,Simulated (Max Sharpe Ratio),2024-01-02,Annual Rebalance,1.0365709101544072,0.0010365709101544072,1341.9967708648044,1294650.2334943018,1293308.236723437
4,Simulated (Max Sharpe Ratio),2025-01-02,Annual Rebalance,0.8882220637265578,0.0008882220637265578,1356.5967913309057,1527317.1504423905,1525960.5536510595
5,Simulated (Max Sharpe Ratio),2026-01-02,Annual Rebalance,1.0971718228602845,0.0010971718228602846,2458.700731791023,2240944.1078985105,2238485.4071667194
6,Equal-Weight,2021-01-05,Initial Deployment,1.0,0.001,1000.0,1000000.0,999000.0
7,Equal-Weight,2022-01-03,Annual Rebalance,0.15703069026994812,0.0001570306902699481,202.58584792259802,1290103.53055404,1289900.9447061175
8,Equal-Weight,2023-01-03,Annual Rebalance,0.2007306416565251,0.0002007306416565251,234.42241142872672,1167845.6736558059,1167611.251244377
9,Equal-Weight,2024-01-02,Annual Rebalance,0.19083961285595666,0.00019083961285595665,273.53588545613,1433328.654164644,1433055.118279188
10,Equal-Weight,2025-01-02,Annual Rebalance,0.1581115566223785,0.0001581115566223785,262.886694383508,1662665.9050063388,1662403.0183119553
11,Equal-Weight,2026-01-02,Annual Rebalance,0.2828282531555025,0.00028282825315550247,647.5877019944817,2289685.329415905,2289037.7417139104
12,Markowitz,2021-01-05,Initial Deployment,1.0,0.001,1000.0,1000000.0,999000.0
13,Markowitz,2022-01-03,Annual Rebalance,1.9999999999999998,0.0019999999999999996,2066.691472446202,1033345.7362231013,1031279.0447506551
14,Markowitz,2023-01-03,Annual Rebalance,1.5338772047352334,0.0015338772047352334,1497.8824822625404,976533.504532453,975035.6220501905
15,Markowitz,2024-01-02,Annual Rebalance,2.0,0.002,1962.347876604031,981173.9383020154,979211.5904254114
16,Markowitz,2025-01-02,Annual Rebalance,1.530125138932406,0.001530125138932406,1917.6265380420127,1253248.1751002227,1251330.5485621807
17,Markowitz,2026-01-02,Annual Rebalance,1.7940200000000002,0.0017940200000000001,2932.9882921632106,1634869.3393402584,1631936.3510480952
18,Black-Litterman,2021-01-05,Initial Deployment,1.0,0.001,1000.0,1000000.0,999000.0
19,Black-Litterman,2022-01-03,Annual Rebalance,1.2803480560461389,0.0012803480560461388,1648.237520786495,1287335.512404682,1285687.2748838956
20,Black-Litterman,2023-01-03,Annual Rebalance,1.1136980338492797,0.0011136980338492797,1316.3684022386892,1181979.6410063857,1180663.272604147
21,Black-Litterman,2024-01-02,Annual Rebalance,1.03693654048597,0.00103693654048597,1467.9340203737283,1415644.9918196222,1414177.0577992485
22,Black-Litterman,2025-01-02,Annual Rebalance,0.6412262180648544,0.0006412262180648544,1109.1054029495458,1729663.2166674284,1728554.1112644789
23,Black-Litterman,2026-01-02,Annual Rebalance,0.6370941309789768,0.0006370941309789768,1422.180565314794,2232292.6804072596,2230870.499841945
24,Risk-Parity,2021-01-05,Initial Deployment,1.0000000000000002,0.0010000000000000002,1000.0000000000002,1000000.0,999000.0
25,Risk-Parity,2022-01-03,Annual Rebalance,0.27293680413374843,0.00027293680413374846,340.1724283242003,1246341.3624404576,1246001.1900121334
26,Risk-Parity,2023-01-03,Annual Rebalance,0.20168902097496716,0.00020168902097496716,236.1009784321337,1170618.8928421524,1170382.7918637202
27,Risk-Parity,2024-01-02,Annual Rebalance,0.1696625022319271,0.0001696625022319271,228.72446650987723,1348114.424230364,1347885.699763854
28,Risk-Parity,2025-01-02,Annual Rebalance,0.2502109891250001,0.0002502109891250001,390.68586218404306,1561425.6733898472,1561034.9875276631
29,Risk-Parity,2026-01-02,Annual Rebalance,0.23156737728849527,0.00023156737728849527,455.5106834191786,1967076.2296179845,1966620.7189345653
