,Model,Ticker,Mean,Std,Minimum,Maximum,Range,Coefficient of Variation
0,Black-Litterman,ABT,0.007175756934861302,0.0069978395544538444,0.0,0.02658,0.02658,0.9752057682523918
1,Black-Litterman,ADBE,0.12296313308733824,0.023122512240814286,0.09329,0.17568648627027458,0.08239648627027459,0.18804426709256694
2,Black-Litterman,ADI,0.0,0.0,0.0,0.0,0.0,
3,Black-Litterman,ADP,0.0,0.0,0.0,0.0,0.0,
4,Black-Litterman,AMAT,0.0005141666666666667,0.0017811255804499955,0.0,0.00617,0.00617,3.4641016151377544
5,Black-Litterman,AME,0.0,0.0,0.0,0.0,0.0,
6,Black-Litterman,AXP,0.0,0.0,0.0,0.0,0.0,
7,Black-Litterman,BA,0.008688994620107597,0.016984126946659024,0.0,0.0621887562248755,0.0621887562248755,1.9546711316123138
8,Black-Litterman,CL,0.005049166666666666,0.01749082640509971,0.0,0.06059,0.06059,3.464101615137755
9,Black-Litterman,COF,0.0,0.0,0.0,0.0,0.0,
10,Black-Litterman,CSCO,0.0,0.0,0.0,0.0,0.0,
11,Black-Litterman,CVX,0.0,0.0,0.0,0.0,0.0,
12,Black-Litterman,DD,0.0,0.0,0.0,0.0,0.0,
13,Black-Litterman,DELL,0.024506221208909152,0.014896763170213238,0.0,0.03340933181336373,0.03340933181336373,0.6078767935383514
14,Black-Litterman,FDX,0.0,0.0,0.0,0.0,0.0,
15,Black-Litterman,GE,0.15114841028179435,0.029581721231593736,0.08583,0.19817603647927037,0.11234603647927037,0.19571308210548094
16,Black-Litterman,GILD,0.019213118137637247,0.011611205950127603,0.0,0.04307,0.04307,0.6043374046288721
17,Black-Litterman,GM,0.0,0.0,0.0,0.0,0.0,
18,Black-Litterman,GS,0.0,0.0,0.0,0.0,0.0,
19,Black-Litterman,HAS,0.0,0.0,0.0,0.0,0.0,
20,Black-Litterman,IBM,0.0,0.0,0.0,0.0,0.0,
21,Black-Litterman,INTC,0.016944772804543907,0.01268133195722991,0.0,0.05148,0.05148,0.7483919733541241
22,Black-Litterman,JBL,0.0,0.0,0.0,0.0,0.0,
23,Black-Litterman,JNJ,0.006519166666666667,0.02050628394079742,0.0,0.07133,0.07133,3.1455376107576254
24,Black-Litterman,JPM,0.0070975,0.016629319192864804,0.0,0.0457,0.0457,2.342982626680494
25,Black-Litterman,KLAC,0.007785786767597981,0.01986804370684172,0.0,0.06549,0.06549,2.551835068168875
26,Black-Litterman,KMB,0.07049309868802624,0.036278359548351805,0.0,0.13209,0.13209,0.514637038568911
27,Black-Litterman,LMT,0.00407,0.009614112732663563,0.0,0.0278,0.0278,2.362189860605298
28,Black-Litterman,LOW,0.01988556067211989,0.018681976730820008,0.0,0.07233,0.07233,0.9394744779317517
29,Black-Litterman,MA,0.099138331216709,0.06080930113130386,0.01464,0.2737645247095058,0.2591245247095058,0.6133783006532485
30,Black-Litterman,MKC,0.03811776867795977,0.01897268041201238,0.0,0.06178,0.06178,0.4977384844402672
31,Black-Litterman,MMM,0.0,0.0,0.0,0.0,0.0,
32,Black-Litterman,MRK,0.01984223080538389,0.01548967803043426,0.0,0.06248,0.06248,0.7806419642206445
33,Black-Litterman,MS,0.0,0.0,0.0,0.0,0.0,
34,Black-Litterman,MU,0.05835579691739498,0.039990764985989656,0.0,0.15595,0.15595,0.68529207205581
35,Black-Litterman,NEM,0.042517707745845075,0.01350357556000553,0.0,0.04834,0.04834,0.31759886117861397
36,Black-Litterman,OLN,0.0,0.0,0.0,0.0,0.0,
37,Black-Litterman,PG,0.0,0.0,0.0,0.0,0.0,
38,Black-Litterman,PH,0.0,0.0,0.0,0.0,0.0,
39,Black-Litterman,PPG,0.0,0.0,0.0,0.0,0.0,
40,Black-Litterman,QCOM,0.017913006223208867,0.0074533663466505445,0.0,0.02346953060938781,0.02346953060938781,0.4160868507371834
41,Black-Litterman,RTX,0.0,0.0,0.0,0.0,0.0,
42,Black-Litterman,SPGI,0.0660839596374739,0.015836130418245026,0.03318933621327573,0.07822,0.04503066378672427,0.23963652458356793
43,Black-Litterman,T,0.0,0.0,0.0,0.0,0.0,
44,Black-Litterman,TMUS,0.03428445564422044,0.012621943077141921,0.002699946001079978,0.04322,0.04052005399892002,0.3681535214711711
45,Black-Litterman,TXN,0.0,0.0,0.0,0.0,0.0,
46,Black-Litterman,UNP,0.0,0.0,0.0,0.0,0.0,
47,Black-Litterman,V,0.15026105659553474,0.02845826603567765,0.09014819703605927,0.19928,0.10913180296394075,0.1893921597548738
48,Black-Litterman,WDC,0.0005908333333333333,0.0020467067042772235,0.0,0.00709,0.00709,3.4641016151377553
49,Black-Litterman,XOM,0.0008408333333333333,0.0029127321080616624,0.0,0.01009,0.01009,3.4641016151377553
50,Equal-Weight,ABT,0.02,0.0,0.02,0.02,0.0,0.0
51,Equal-Weight,ADBE,0.02,0.0,0.02,0.02,0.0,0.0
52,Equal-Weight,ADI,0.02,0.0,0.02,0.02,0.0,0.0
53,Equal-Weight,ADP,0.02,0.0,0.02,0.02,0.0,0.0
54,Equal-Weight,AMAT,0.02,0.0,0.02,0.02,0.0,0.0
55,Equal-Weight,AME,0.02,0.0,0.02,0.02,0.0,0.0
56,Equal-Weight,AXP,0.02,0.0,0.02,0.02,0.0,0.0
57,Equal-Weight,BA,0.02,0.0,0.02,0.02,0.0,0.0
58,Equal-Weight,CL,0.02,0.0,0.02,0.02,0.0,0.0
59,Equal-Weight,COF,0.02,0.0,0.02,0.02,0.0,0.0
60,Equal-Weight,CSCO,0.02,0.0,0.02,0.02,0.0,0.0
61,Equal-Weight,CVX,0.02,0.0,0.02,0.02,0.0,0.0
62,Equal-Weight,DD,0.02,0.0,0.02,0.02,0.0,0.0
63,Equal-Weight,DELL,0.02,0.0,0.02,0.02,0.0,0.0
64,Equal-Weight,FDX,0.02,0.0,0.02,0.02,0.0,0.0
65,Equal-Weight,GE,0.02,0.0,0.02,0.02,0.0,0.0
